Course number	Course name	Units	Department	Description	Instructors	Days	Start time	End time	Location
02-613	Algorithms and Advanced Data Structures	12.0	Computational Biology	The objective of this course is to study algorithms for general computational problems, with a focus on the principles used to design those algorithms. Efficient data structures will be discussed to support these algorithmic concepts. Topics include: Run time analysis, divide-and-conquer algorithms, dynamic programming algorithms, network flow algorithms, linear and integer programming, large-scale search algorithms and heuristics, efficient data storage and query, and NP-completeness. Although this course may have a few programming assignments, it is primarily not a programming course. Instead, it will focus on the design and analysis of algorithms for general classes of problems. This course is not open to CS graduate students who should consider taking 15-651 instead.	Jian Ma	1<>3<>5	0930	1020	BH A51
02-651	New Technologies and Future Markets	12.0	Computational Biology	This course focuses on technological trends and how these trends can help  shape or disrupt new and existing markets. Students will learn to identify,  analyze, and synthesize emerging trends and perform detailed research on how  these trends can influence and create markets. By understand the drivers  behind these trends students will be able to identify key market opportunity  inflection points in biotechnology as well as the relationship between  business processes and information technology (IT). Students will also learn  to assess some information technologies and the potential of applying them  to solve problems and create commercially viable solutions.    The course is designed for the student interested in finding new venture  opportunities on the cutting edge of technology and finding and evaluating  the opportunities for further development. For MS Biotechnology Innovation and Computation students only.	Du (John) Vu	2<>4	0900	1020	GHC 4303
02-654	Biotechnology Enterprise Development	12.0	Computational Biology	In this course students learn how to develop a biotech start-up, create a  Minimum Viable Product (MVP), business model and strategy for the product.  Students will learn about business modeling, customer development, customer  validation, proposal, product branding, and marketing for their product. The  course will require students to spend most time to validate their start up  concept and prototypes with potential customers and adapt to critical  feedback and revise their respective value propositions accordingly.  Students learn to balance technical product development with customer  requirements, business strategy and budget constraints. This course provides  real world, hands-on learning on what it is like to start a company.  Different business modeling will be covered. By understand customer  discovery and validation concepts will aid students to effectively modify  their original concepts to meet market demands. Student teams will learn how  to revise, improve their prototype by the end of the term. This is a fast  paced course in which students are expected to spend most of the time  outside of the classroom to interact with potential customers to validate,  test, verify, and integrate essentials elements for their start-up business  proposal. Up to now, students have been learning some technologies and  methods for solving problems in the life science industry and build a  prototype for their start-up. However, a new venture proposal is not a  collection of isolated bits. It should be thorough validated via customers  inputs and market needs to tell a single story of how the venture will reach  its end goals. Final deliverable is creation and presentation of a well  explicated, business proposal in addition to a product prototype  corresponding to the business proposal.	Du (John) Vu	1<>3	0900	1020	GHC 4303
02-700	M.S. Thesis Research	None	Computational Biology	This course is for M.S. students who wish to do supervised research for academic credit with a Computational Biology faculty member. Interested students should first contact the Professor with whom they would like to work. If there is mutual interest, the Professor will direct you to the Academic Programs Coordinator, who will enroll you in the course.	Shoba Subramanian<>Phillip Compeau	NA	NA	NA	NA
02-701	Current Topics in Computational Biology	3.0	Computational Biology	The course consists of weekly presentations by students and faculty on current topics in computational biology.	Christopher Langmead	1	1230	0120	NA
02-702	Computational Biology Seminar	3.0	Computational Biology	This course consists of weekly invited presentations on current computational biology research topics by leading scientists.	Jian Ma	5	1100	1150	NA
02-711	Computational Molecular Biology and Genomics	12.0	Computational Biology	An advanced introduction to computational molecular biology and genomics.  The course particularly focuses on computational methods relevant to population genetics, evolution and phylogeny, including association and linkage studies, coalescent theory, multiple sequence alignment, and phylogeny reconstruction.  Course grade is based on midterm exam, quizzes and a final project.	M Durand	2<>4	1030	1150	DH 1217
02-712	Computational Methods for Biological Modeling and Simulation	12.0	Computational Biology	This course covers a variety of computational methods important for modeling and simulation of biological systems. It is intended for graduates and advanced undergraduates with either biological or computational backgrounds who are interested in developing computer models and simulations of biological systems. The course will emphasize practical algorithms and algorithm design methods drawn from various disciplines of computer science and applied mathematics that are useful in biological applications. The general topics covered will be models for optimization problems, simulation and sampling, and parameter tuning. Course work will include problems sets with significant programming components and independent or group final projects.	Russell Schwartz	2<>4	1500	1620	PH A18A
02-730	Cell and Systems Modeling	12.0	Computational Biology	This course will introduce students to the theory and practice of modeling biological systems from the molecular to the organism level with an emphasis on intracellular processes. Topics covered include kinetic and equilibrium descriptions of biological processes, systematic approaches to model building and parameter estimation, analysis of biochemical circuits modeled as differential equations, modeling the effects of noise using stochastic methods, modeling spatial effects, and modeling at higher levels of abstraction or scale using logical or agent-based approaches. A range of biological models and applications will be considered including gene regulatory networks, cell signaling, and cell cycle regulation. Weekly lab sessions will provide students hands-on experience with methods and models presented in class. Course requirements include regular class participation, bi-weekly homework assignments, a take-home exam, and a final project.  Prerequisites: The course is designed for graduate and upper-level undergraduate students with a wide variety of backgrounds.  The course is intended to be self-contained but students may need to do some additional work to gain fluency in core concepts.  Students should have a basic knowledge of calculus, differential equations, and chemistry as well as some previous exposure to molecular biology and biochemistry.  Experience with programming and numerical computation is useful but not mandatory.  Laboratory exercises will use Matlab as the primary modeling and computational tool augmented by additional software as needed.	Andreas Pfenning	2<>4	1330	1450	PSC 103
02-750	Robotics and Machine Learning	12.0	Computational Biology	Biology is increasingly becoming a big data science, as biomedical research has been revolutionized by automated methods for generating large amounts of data on diverse biological processes. Integration of data from many types of experiments is required to construct detailed, predictive models of cell, tissue or organism behaviors, and the complexity of the systems suggests that these models need to be constructed automatically. This requires iterative cycles of acquisition, analysis, modeling, and experimental design, since it is not feasible to do all possible biological experiments. This course will cover a range of automated biological research methods and a range of computational methods for automating the acquisition and interpretation of the data (especially active learning, proactive learning, compressed sensing and model structure learning). Grading will be based on class participation, homeworks, and a final project. The course is designed for graduate and upper-level undergraduate students with a wide variety of backgrounds. The course is intended to be self-contained but students may need to do some additional work to gain fluency in core concepts. Students should have a basic knowledge of biology, statistics, and programming. Experience with Machine Learning is useful but not mandatory.	Christopher Langmead	2<>4	1630	1750	HH B131
02-801	TBA	3.0	Computational Biology	This course is for students participating in an internship or co-op.	Instructor TBA	NA	NA	NA	NA
02-900	Ph.D. Thesis Research	None	Computational Biology	Missing Course Description - please contact the teaching department.	Russell Schwartz	NA	NA	NA	NA
03-050	Study Abroad	0.0	Biological Sciences	Missing Course Description - please contact the teaching department.	Instructor TBA	NA	NA	NA	NA
03-115	Phage Genomics Research	6.0	Biological Sciences	This course will provide an introduction to biological investigation through a research project in bacteriophage genomics. Genomics combines experimental and computational approaches for large-scale analysis of the biological information contained in DNA sequences. The ability to analyze the complete DNA of any organism has revolutionized modern genetics and is influencing many areas of biology and medicine. The most abundant biological entities are bacteriophages (viruses that infect bacteria). Their enormous diversity and number make bacteriophages important models for the study of gene structure, function and regulation, population genetics and evolution. In addition they are the source of important tools in biotechnology. The research goals of this course will be to identify new bacteriophage species and incorporate them into a comparative genomic study to better understand the genetic organization and evolution of these organisms. While accomplishing these goals students will develop an understanding of the research process, including the ability to design experiments and interpret novel data.    Fall semester: Samples will be collected in the field. From these samples students will identify and purify bacteriophages. The bacteriophages will be characterized structurally by electron microscopy, and their DNA will be purified and sequenced.	Jonathan Jarvik<>Natalie McGuier	2<>4	1330	1400	DH 2303
03-121	Modern Biology	9.0	Biological Sciences	This is an introductory course that provides the basis for further studies in biochemistry, cell biology, genetics and molecular biology.  This course emphasizes the chemical principles underlying biological processes and cell structures as well as the analysis of genetics and heredity from a molecular perspective. This is the introductory biology course for all science and non-science majors.	Antonio-Javier Lopez<>Linda Visomirski-Robic	1<>3<>5	1330	1420	DH 2315
03-121	Modern Biology	9.0	Biological Sciences	This is an introductory course that provides the basis for further studies in biochemistry, cell biology, genetics and molecular biology.  This course emphasizes the chemical principles underlying biological processes and cell structures as well as the analysis of genetics and heredity from a molecular perspective. This is the introductory biology course for all science and non-science majors.	Jason D'Antonio<>Becki Campanaro	1<>3<>5	1330	1420	PH A18B
03-124	Modern Biology Laboratory	9.0	Biological Sciences	This laboratory is designed to introduce students to modern concepts in the biological sciences. The experiments illustrate many of the principles covered in 03-121 and 03-230. Experimentation using living organisms and/or their tissues, cells or molecules is an essential component of this course.	Natalie McGuier	3	1230	0120	DH 2105
03-125	Evolution	9.0	Biological Sciences	Evolutionary theory is the unifying principle of biology.  A good comprehension of the concepts that underlie this theory is therefore important to properly appreciate and understand any biological process. This course is designed for students intending to continue studies in biology so that they may gain an understanding of the evolutionary framework in their more advanced courses, and also non-biology majors who want to extend their knowledge of biology at an introductory level.  The lectures will include (i) an examination of the history and development of evolutionary theory, (ii) consideration of some of the facts that have established the theory, (iii) an introduction to the concepts of phylogenetics, (iv) discussion of the patterns and mechanism that lead to the diversity and origins of the groups of life, (v) an introduction to genetics and population genetic theory, and (vi) discussion of and how this applies to natural selection and speciation.  The course will also include some more specialist topics, including evolution of development, sexual selection, evolutionary applications to medicine and conservation biology, and genome evolution.  Assessment will be based on several in-class exams and quizzes, homework assignments, a written term paper, and a final exam.	Veronica Hinman	2<>4	0900	1020	DH 1117
03-132	Basic Science to Modern Medicine	9.0	Biological Sciences	This course will focus on the genetics, cell biology, and developmental biology behind human biology and human disease, as well as the growing opportunities for novel therapeutic options that basic science delivers.  This is a topics based course, with topics chosen to cover aspects of human biology and health that students are likely to encounter in their daily lives such as cancer, stem cells, genome sequencing, and the human microbiota. Students will explore these topics from both a basic science and a human health perspective.	Brooke Mccartney	2<>4	0900	1020	BH 140E
03-132	Basic Science to Modern Medicine	9.0	Biological Sciences	This course will focus on the genetics, cell biology, and developmental biology behind human biology and human disease, as well as the growing opportunities for novel therapeutic options that basic science delivers.  This is a topics based course, with topics chosen to cover aspects of human biology and health that students are likely to encounter in their daily lives such as cancer, stem cells, genome sequencing, and the human microbiota. Students will explore these topics from both a basic science and a human health perspective.	Mohamed Bouaouina	2<>4	1030	1150	CMB 2152
03-151	Honors Modern Biology	10.0	Biological Sciences	This course will cover in some depth, the basics of the structure and function of the major biomolecules in the cell, cellular structure and function, genetic replication, transmission and expression of biological information, and cell-cell interactions. While similar core topics will be covered in all sections of Modern Biology, this section will be offered at an accelerated pace, requiring more independent learning. The extra class time this pacing provides will allow the exploration of the molecular basis of life to help students integrate and apply the core principles of biology covered in the course.  THIS SECTION IS RESERVED FOR INCOMING FIRST-YEAR MCS STUDENTS.	Jonathan Minden	1<>3<>5	1330	1420	PH 125C
03-201	Undergraduate Colloquium for Sophomores	None	Biological Sciences	The purpose of this seminar series is to update biology undergraduates about university and departmental functions, seminars, etc. that are pertinent or useful. In addition, research talks by faculty and undergraduates will be used to introduce students to the research being conducted in faculty laboratories. Additional topics may include graduate and medical school applications, career options, topics in the press, and important scientific discoveries.	Becki Campanaro	4	0930	1020	DH A302
03-201	Undergraduate Colloquium for Sophomores	None	Biological Sciences	The purpose of this seminar series is to update biology undergraduates about university and departmental functions, seminars, etc. that are pertinent or useful. In addition, research talks by faculty and undergraduates will be used to introduce students to the research being conducted in faculty laboratories. Additional topics may include graduate and medical school applications, career options, topics in the press, and important scientific discoveries.	Ken Hovis<>Annette Vincent	2	1130	2420	CMB 1199
03-206	Biomedical Engineering Laboratory	9.0	Biological Sciences	This laboratory course is designed to provide students with the ability to make measurements on and interpret data from living systems. The experimental modules reinforce concepts from 42-101 Introduction to Biomedical Engineering and expose students to four areas of biomedical engineering: biomedical signal and image processing, biomaterials, biomechanics, and cellular and molecular biotechnology. Several cross-cutting modules are included as well. The course includes weekly lectures to complement the experimental component. Prerequisites: 42-101 Introduction to Biomedical Engineering and 03-121 Modern Biology.  Priority for enrollment will be given to students who have declared the Additional Major in Biomedical Engineering. Notes:  This course number is reserved for students registered with the HPP program that, are CIT majors. If you require a biology lab for pre-health admissions requirements, please contact Dr. Conrad Zapanta and Dr. Maggie Braun (in the same email) for permission to register for 03-206 instead of 42-203.  Priority for enrollment will be given to students who have declared the Additional Major in Biomedical Engineering.	Conrad Zapanta	1<>3	1330	1450	EDS 125
03-206	Biomedical Engineering Laboratory	9.0	Biological Sciences	This laboratory course is designed to provide students with the ability to make measurements on and interpret data from living systems. The experimental modules reinforce concepts from 42-101 Introduction to Biomedical Engineering and expose students to four areas of biomedical engineering: biomedical signal and image processing, biomaterials, biomechanics, and cellular and molecular biotechnology. Several cross-cutting modules are included as well. The course includes weekly lectures to complement the experimental component. Prerequisites: 42-101 Introduction to Biomedical Engineering and 03-121 Modern Biology.  Priority for enrollment will be given to students who have declared the Additional Major in Biomedical Engineering. Notes:  This course number is reserved for students registered with the HPP program that, are CIT majors. If you require a biology lab for pre-health admissions requirements, please contact Dr. Conrad Zapanta and Dr. Maggie Braun (in the same email) for permission to register for 03-206 instead of 42-203.  Priority for enrollment will be given to students who have declared the Additional Major in Biomedical Engineering.	Conrad Zapanta	2<>4	1330	1450	EDS 125
03-210	Independent Study	None	Biological Sciences	Students will read papers from the original literature under the direction of a faculty member. Students will be required to demonstrate mastery of the readings by discussions with the sponsoring faculty member, oral presentations, or writing of one or more papers summarizing and extending the information in the readings. If appropriate, students may write a program(s) to satisfy this last requirement. A student may take this course only once.  This is a mini format course.  Special permission required.	Becki Campanaro	NA	NA	NA	NA
03-210	Independent Study	None	Biological Sciences	Students will read papers from the original literature under the direction of a faculty member. Students will be required to demonstrate mastery of the readings by discussions with the sponsoring faculty member, oral presentations, or writing of one or more papers summarizing and extending the information in the readings. If appropriate, students may write a program(s) to satisfy this last requirement. A student may take this course only once.  This is a mini format course.  Special permission required.	Becki Campanaro	NA	NA	NA	NA
03-220	Genetics	9.0	Biological Sciences	The mechanisms of transmission of inherited traits in viruses, bacteria, fungi, plants and animals are discussed. Molecular mechanisms of gene expression and gene regulation are analyzed. Recombinant DNA and its applications in genetic analysis, biotechnology, forensics, agriculture, medicine, and the pharmaceutical industry are presented. Special topics in human genetics are considered, such as the genetics of cancer. Principles and methods for the study of developmental genetics, population genetics and complex traits are also introduced.	Antonio-Javier Lopez<>Charles Mcmanus	1<>3<>5	0930	1020	MM 103
03-232	Biochemistry I	9.0	Biological Sciences	This course provides an introduction to the application of biochemistry to biotechnology. The functional properties of amino acids, nucleotides, lipids, and sugars are presented. This is followed by a discussion of the structural and thermodynamic aspects of the organization of these molecules into higher-order structures, such as proteins, nucleic acids, and membranes. The kinetics and thermodynamics of protein-ligand interactions are discussed for non-cooperative, cooperative, and allosteric binding events. The use of mechanistic and kinetic information in enzyme characterization and drug discovery are discussed. Topics pertinent to biotechnology include: antibody production and use, energy production in biochemical systems, expression of recombinant proteins, and methods of protein purification and characterization. The course is an alternate to 03-231.	Gordon Rule	4	0930	1020	CMB 2035
03-260	Neurobiology of Disease	9.0	Biological Sciences	This course will explore the biological basis of several neurological and neuropsychiatric diseases, with an emphasis on medical diagnostic tools and techniques. It will include discussions of the anatomical basis of neurological diseases as well as recent research into understanding the mechanisms of disease. This course is intended to broaden students understanding of how diseases are diagnosed and studied.  Students will also learn how basic neurological and psychiatric evaluations are conducted and gain proficiency in these evaluation techniques.  We will begin with a discussion of clinical neuroanatomy to serve as a basis for understanding brain structures and functional alterations in a variety of developmental, degenerative, neurological, and psychiatric disorders.  Specific diseases covered may vary from year to year.	Daniel Brasier	1<>3<>5	1530	1620	PH A18B
03-301	Undergraduate Colloquium for Juniors	None	Biological Sciences	The purpose of this seminar series is to update biology undergraduates about university and departmental functions, seminars, etc. that are pertinent or useful. In addition, research talks by faculty and undergraduates will be used to introduce students to the research being conducted in faculty laboratories. Additional topics may include graduate and medical school applications, career options, topics in the press, and important scientific discoveries.	Becki Campanaro	4	0930	1020	DH A302
03-320	Cell Biology	9.0	Biological Sciences	This course provides descriptive information and mechanistic detail concerning key cellular processes in six areas: membrane function, protein targeting, signaling, cytoskeleton, cell division, and cell interaction. An attempt is made to introduce the methodology that was used to obtain this information and to discuss how our understanding of these processes relates to the treatment of human disease.	Manojkumar Puthenveedu	1<>3<>5	0830	0920	MM 103
03-326	Evolution of Regulatory Genomics	4.5	Biological Sciences	This course will introduce central concepts of evolutionary theory, e.g. drift, selection, phylogenetics and an introduction into how genomes are sequenced, assembled and annoted.  This will require a basic undertsanding of genetics. Course topics will then unify these two areas of biology to examine process by which genomes evolve and how this in turn has lead to the diversity of animal pheonotypes.  This will include discussion of how genomes control embryonic development, how gene regulation has evolved (focusing on cis regulatory evolution and non-coding RNA regulatory evolution) and the concept of gene regulatory network evolution.  Concepts and specific examples will come through lectures, selected readings from advanced texts and primary literature.	Veronica Hinman	2<>4	1500	1620	WEH 5328
03-330	Genetics	9.0	Biological Sciences	The mechanisms of transmission of inherited traits in viruses, bacteria, fungi, plants and animals are discussed. Molecular mechanisms of gene expression and gene regulation are analyzed. Recombinant DNA and its applications in genetic analysis, biotechnology, forensics, agriculture, medicine, and the pharmaceutical industry are presented. Special topics in human genetics are considered, such as the genetics of cancer. Principles and methods for the study of developmental genetics, population genetics and complex traits are also introduced.	Ihab Younis	4	1730	1820	CMB 1031
03-342	Introduction to Biological Laboratory Practices	1.0	Biological Sciences	This course is designed for students in the BS in Computational Biology degree program. It is a required co-requisite for 03-343, Experimental Genetics and Molecular Biology and is designed to be an introduction to basic laboratory practices.   The course will introduce biological and chemical safety training and basic laboratory practices.  Techniques of solution preparation and titration, pipetting, UV/VIS spectroscopy, and quantitation of biological compounds will be covered.	Carrie Doonan	NA	NA	NA	NA
03-342	Introduction to Biological Laboratory Practices	1.0	Biological Sciences	This course is designed for students in the BS in Computational Biology degree program. It is a required co-requisite for 03-343, Experimental Genetics and Molecular Biology and is designed to be an introduction to basic laboratory practices.   The course will introduce biological and chemical safety training and basic laboratory practices.  Techniques of solution preparation and titration, pipetting, UV/VIS spectroscopy, and quantitation of biological compounds will be covered.	Annette Vincent	NA	NA	NA	NA
03-343	Experimental Techniques in Molecular Biology	12.0	Biological Sciences	This laboratory course is designed to teach experimental methods of modern biology. Experiments in microbial genetics, molecular biology and eukaryotic genetics are performed. Emphasis is placed on understanding and applying the biological principles of each experiment. This course is designed to be taken during the junior year and is intended to prepare students for undergraduate research. Experimentation using living organisms and/or their tissues, cells or molecules is an essential component of this course.	Carrie Doonan<>Emily Drill	3	1400	1450	MI 348
03-350	Developmental Biology	9.0	Biological Sciences	How does a complex, multicellular organism arise from a single cell? How do cells with identical genomes acquire distinctive properties? What are the medical consequences of abnormal embryonic development? How does regeneration occur? How has evolution modified developmental programs to produce different body plans? These are some of the central questions in the field of developmental biology. This course serves as an introduction to current concepts and experimental approaches in this rapidly advancing field. Topics in the course include genomics, differential gene expression, cell signaling, cell movements, tissue morphogenesis, stem cells, human development, and regeneration. The course examines the genes and signaling pathways that control development and the role that mis-regulation of these pathways plays in human disease.	Mohamed Bouaouina	1<>3	1500	1620	CMB 2049
03-362	Cellular Neuroscience	9.0	Biological Sciences	Modern neuroscience is an interdisciplinary field that seeks to understand the function of the brain and nervous system. This course provides a comprehensive survey of cellular and molecular neuroscience ranging from molecules to simple neural circuits. Topics covered will include the properties of biological membranes, the electrical properties of neurons, neural communication and synaptic transmission, mechanisms of brain plasticity and the analysis of simple neural circuits. In addition to providing information the lectures will describe how discoveries were made and will develop students abilities to design experiments and interpret data.	Aryn Gittis	2<>4	0900	1020	DH 2302
03-366	Biochemistry of the Brain	9.0	Biological Sciences	This course is designed to give students a comprehensive understanding of the major neurotransmitter systems in the brain.  Students will explore qualitative and quantitative approaches to understanding how various neurotransmitters function as well as how they are modulated by endogenous and exogenous agents.  The qualitative exploration will include basic principles of neural communication, signal transduction and second messenger systems, main classes of neurotransmitters, and the effects of medications and drugs of abuse.  Quantitatively, we will explore the kinetics of neurotransmitter binding, affinity of different receptors for their neurotransmitters, and apply concepts of competitive, uncompetitive, and mixed inhibition to understanding the effects of exogenous agonists and antagonists on these receptors.  Students will learn how these qualitative and quantitative biochemical processes affect the endocrine system, neuroinflammatory responses, addictive behaviors, and neurotoxic or degenerative conditions.	Daniel Brasier	1<>3<>5	1130	2420	WEH 8427
03-380	Virology	9.0	Biological Sciences	The concepts and methods of virology are covered, with emphasis on animal viruses, within the framework of cell biology, genetics, molecular biology, immunology, pathology, and epidemiology. The strategies that a wide variety of different DNA and RNA viruses, including some new and emerging ones, use to replicate and express their genomes  during infection of host cells will be examined in some detail. The effects that viruses inflict on these cells will also be examined, as will some of the host cell responses generated by such virus-cell interactions, including interferon induction, the antiviral response generated by interferon, and oncogenic transformation. In addition, anoverview of procedures used for prevention and treatment of viral diseases via vaccinesand antiviral drugs, respectively, will be presented, as will a brief discussion of viroids and prions, and the characteristics of these agents which distinguish them from viruses.	Ihab Younis	1<>3	1330	1450	CMB 2051
03-390	Molecular and Cellular Immunology	9.0	Biological Sciences	This course offers the student a comprehensive view of modern immunology at the molecular and cellular level. The first half of the course presents the fundamentals of immunology, beginning with innate immunity, followed by a discussion of the structure and function of important molecules in the immune system, such as antibodies, major histocompatibility antigens, complement, and the T-cell receptor. This portion of the course is concluded with a discussion of the development and function of the cellular immune response. The second half of the course is focused on applied immunology and discusses hypersensitivity, autoimmunity, immunodeficiencies, tumor immunology, infectious disease, and transplantation immunology. Presentations at the end of the course provide an opportunity for the student to explore additional topics in contemporary immunology.	Gordon Rule	1<>3	1030	1150	CMB 1031
03-401	Undergraduate Colloquium for Seniors	None	Biological Sciences	The purpose of this seminar series is to update biology undergraduates about university and departmental functions, seminars, etc. that are pertinent or useful. In addition, research talks by faculty and undergraduates will be used to introduce students to the research being conducted in faculty laboratories. Additional topics may include graduate and medical school applications, career options, topics in the press, and important scientific discoveries.	Becki Campanaro	4	0930	1020	DH A302
