Course number	Course name	Units	Department	Description	Instructors	Days	Start time	End time	Location
03700	MS Thesis Research	None	Biological Sciences	A student enrolled in this course conducts an independent investigation on a project in a faculty advisors lab. The project is selected from a major area of research study with the advice and approval of the faculty advisor. This course is required of students who are enrolled in the Master of Science program and wish to write and defend a thesis.	Shoba Subramanian	NA	NA	NA	NA
03900	Doctoral Thesis Research	None	Biological Sciences	Doctoral Thesis Research consists of an independent investigation on a project selected from a major area of research study with the advice and approval of the faculty advisor.	Shoba Subramanian	NA	NA	NA	NA
03900	Doctoral Thesis Research	None	Biological Sciences	Doctoral Thesis Research consists of an independent investigation on a project selected from a major area of research study with the advice and approval of the faculty advisor.	Shoba Subramanian	NA	NA	NA	NA
05589	Independent Study in HCI-UG	None	Human-Computer Interaction	"In collaboration with and with the permission of the professor, undergraduate students may engage in independent project work on any number of research projects sponsored by faculty. Students must complete an Independent Study Proposal, negotiate the number of units to be earned, complete a contract, and present a tangible deliverable.  The Undergraduate Program Advisors signature is required for HCI undergraduate-level Independent Study courses."	Indra Szegedy	NA	NA	NA	NA
05672	HCI Project II	48	Human-Computer Interaction	"This is the second consecutive course of the two-semester HCI Project course. Experiential learning is a key component of the MHCI program. Through a substantial team project, students apply classroom knowledge in analysis and evaluation, implementation and design, and develop skills working in multidisciplinary teams on client-based industry-related projects. The project begins in the spring semester before graduation and continues full-time through the final summer semester; it must be taken in consecutive spring and summer semesters. Pre-reqs: 05-571 or 05-671."	Karen Berntsen<>Vincent Aleven<>Gary Minnaert<>Martin Shelly<>Derek Wahila	2<>4	1630	1750	3SC 172
05680	Independent Study in HCI - METALS	None	Human-Computer Interaction	"With the permission of the professor, students may engage in independent project work on any number of innovative research projects sponsored by faculty. Students must complete an Independent Study Proposal, negotiate the number of units to be earned, submit a contract, and present a tangible deliverable.  The Program Advisors signature is required for the METALS Independent Study course."	Michael Bett	NA	NA	NA	NA
05682	METALS Project 2	48	Human-Computer Interaction	METALS Project 2	John Stamper<>Bruce Mclaren	1<>3	1500	1620	NA
05689	Independent Study in HCI - Grad	None	Human-Computer Interaction	"With the permission of the professor, students may engage in independent project work on any number of innovative research projects sponsored by faculty. Students must complete an Independent Study Proposal, negotiate the number of units to be earned, submit a contract, and present a tangible deliverable.  The Program Advisors signature is required for HCI graduate-level Independent Study courses."	Nicole Willis	NA	NA	NA	NA
05689	Independent Study in HCI - Grad	None	Human-Computer Interaction	"With the permission of the professor, students may engage in independent project work on any number of innovative research projects sponsored by faculty. Students must complete an Independent Study Proposal, negotiate the number of units to be earned, submit a contract, and present a tangible deliverable.  The Program Advisors signature is required for HCI graduate-level Independent Study courses."	Nicole Willis	NA	NA	NA	NA
05888	Practicum in HCI	None	Human-Computer Interaction	"All HCII graduate students on external internship should register for this course.  For PhD students, units of this course may be substituted for required units of 05-997 Reading and Research in HCI.  Activities undertaken during an internship may vary widely, but a brief report of internship activities indicating educational relevance is required for credit. Students of the Emerging Media Graduate Program should first see the Emerging Media Graduate office for the internship proposal form and instructions, before registering for this course."	Susan Kravitz<>Scott Hudson	NA	NA	NA	NA
05888	Practicum in HCI	None	Human-Computer Interaction	"All HCII graduate students on external internship should register for this course.  For PhD students, units of this course may be substituted for required units of 05-997 Reading and Research in HCI.  Activities undertaken during an internship may vary widely, but a brief report of internship activities indicating educational relevance is required for credit. Students of the Emerging Media Graduate Program should first see the Emerging Media Graduate office for the internship proposal form and instructions, before registering for this course."	Susan Kravitz<>Scott Hudson	NA	NA	NA	NA
05898	Presentation through Improvisational Acting	9	Human-Computer Interaction	To be determined.	Brenda Harger	1<>3	1030	1320	PCA 321
05997	Reading and Research in HCI	None	Human-Computer Interaction	Advisor-directed research in HCI.  For HCII PhD students only.	Susan Kravitz<>Scott Hudson	NA	NA	NA	NA
06250	Practical Internship for Senior Chemical Engineering	None	Chemical Engineering	Internship	Lorenz Biegler	NA	NA	NA	NA
06300	Junior Research Project	None	Chemical Engineering	"Research projects under the direction of the Chemical Engineering faculty. The nature of the project, the number of units, and the criteria for grading are to be determined between the student and the faculty supervisor. The agreement should then be summarized in a one-page project description for review by the faculty advisor of the student. A final written report or an oral presentation of the results is required."	Lorenz Biegler	NA	NA	NA	NA
06400	Senior Research Project	None	Chemical Engineering	"Research projects under the direction of the Chemical Engineering faculty. The nature of the project, the number of units, and the criteria for grading are to be determined between the student and the faculty supervisor. The agreement should then be summarized in a one-page project description for review by the faculty advisor of the student. A final written report or an oral presentation of the results is required."	Lorenz Biegler	NA	NA	NA	NA
06600	Masters Chemical Engineering Project	None	Chemical Engineering	Missing Course Description - please contact the teaching department.	Lorenz Biegler	NA	NA	NA	NA
06803	Graduate Reading and Research	None	Chemical Engineering	None	Lorenz Biegler	NA	NA	NA	NA
06995	Practicum in Chemical Engineering	None	Chemical Engineering	None	Lorenz Biegler	NA	NA	NA	NA
08606	Privacy by Design Project Workshop	6	Institute for Software Research	This course is for students enrolled in the Privacy by Design Practicum or by permission of the instructor. Students will discuss privacy by design challenges and solutions.	Norman Sadeh<>Lorrie Cranor	3	1500	1620	NSH 3002
08607	Privacy by Design Practicum	42	Institute for Software Research	Students in this course will work in small teams on a large semester-long Privacy By Design project for a project sponsor. Students will be expected to deliver a final report and project presentation at the end of the semester. This course is for students in the MSIT-Privacy Engineering program or by permission of the instructor.	Norman Sadeh<>Lorrie Cranor	NA	NA	NA	NA
08609	Privacy Engineering Practicum	3	Institute for Software Research	You must be admitted to the MSIT Privacy Engineering Masters Program to enroll in this course	Instructor TBA	NA	NA	NA	NA
08610	Internship for Privacy Engineering	3	Institute for Software Research	Course is only available to students in the MSIT PE program	Lorrie Cranor<>Norman Sadeh	NA	NA	NA	NA
08716	Practicum	31	Institute for Software Research	This course is part of the MSIT eBusiness Technologies course curriculum and  is not open to students from other programs. Permission to take the course will not be given to students outside of the MSIT eBusiness Technology program.  Please do not contact the instructor regarding taking this course.	Michael Shamos	NA	NA	NA	NA
08716	Practicum	31	Institute for Software Research	This course is part of the MSIT eBusiness Technologies course curriculum and  is not open to students from other programs. Permission to take the course will not be given to students outside of the MSIT eBusiness Technology program.  Please do not contact the instructor regarding taking this course.	Michael Shamos	NA	NA	NA	NA
08716	Practicum	31	Institute for Software Research	This course is part of the MSIT eBusiness Technologies course curriculum and  is not open to students from other programs. Permission to take the course will not be given to students outside of the MSIT eBusiness Technology program.  Please do not contact the instructor regarding taking this course.	Michael Shamos	NA	NA	NA	NA
08716	Practicum	31	Institute for Software Research	This course is part of the MSIT eBusiness Technologies course curriculum and  is not open to students from other programs. Permission to take the course will not be given to students outside of the MSIT eBusiness Technology program.  Please do not contact the instructor regarding taking this course.	Michael Shamos	NA	NA	NA	NA
08723	Mobile Application Development for iOs and Android	12	Institute for Software Research	"This course will cover both iOS and Android smartphone application development. This will include user-centered design and software architecture involved in transforming conceptual ideas into usable mobile services. Prior programming experience (e.g. C++, JAVA, SQL , etc) is required, and object-oriented programming experience is recommended. In this class, students will specifically learn how to manipulate sensors on both iOS and Android devices, how to leverage 3rd party webservices to populate data, and how to build compelling user experiences. Finally, students will deploy and run applications on their own Android and iOS devices. Following a learning by doing methodology, there will be a team-based final project for both Android and iOS devices. The course is open to graduate students. Undergraduates may be admitted with permission from the instructor."	Sae Young Jeong	2<>4	1200	120	DH A302
08995	Societal Computing Practicum Internship	None	Institute for Software Research	"Students will register for this course if they plan to participate in a internship opportunity during the academic semester.    Internships require CPT approval for international students.  Internships must begin and end matching the CMU summer academic calendar. If this does not occur international students will be required to use OPT to cover the non-academic time.    Students are required to submit a description of what was accomplished during their internship. Students must turn this into their current advisers for credit, and grading.  This 3 unit course will count towards the required electives of the program."	James Herbsleb	NA	NA	NA	NA
08996	Societal Computing Independent Study	None	Institute for Software Research	Independent Study Course for Societal Computing	Kathleen Carley	NA	NA	NA	NA
08996	Societal Computing Independent Study	None	Institute for Software Research	Independent Study Course for Societal Computing	Norman Sadeh	NA	NA	NA	NA
08996	Societal Computing Independent Study	None	Institute for Software Research	Independent Study Course for Societal Computing	Juergen Pfeffer	NA	NA	NA	NA
08996	Societal Computing Independent Study	None	Institute for Software Research	Independent Study Course for Societal Computing	Lorrie Cranor	NA	NA	NA	NA
08997	Societal Computing Graduate Reading and Research	None	Institute for Software Research	Societal Computing PhD Students only sign up for Reading  Research.  Please make sure you sign up under your advisers section	James Herbsleb	NA	NA	NA	NA
08997	Societal Computing Graduate Reading and Research	None	Institute for Software Research	Societal Computing PhD Students only sign up for Reading  Research.  Please make sure you sign up under your advisers section	James Herbsleb	NA	NA	NA	NA
09001	Chemistry Elective	None	Chemistry	None	Karen Stump	NA	NA	NA	NA
09050	Study Abroad	0	Chemistry	Missing Course Description - please contact the teaching department.	Instructor TBA	NA	NA	NA	NA
09105	TBA	10	Chemistry	"This course begins with a very brief survey of some fundamental principles of chemistry and a presentation of chemically interesting applications and sophisticated problems. These will form the basis for introducing the relationships between the structure of molecules and their chemical properties and behavior. The subject matter will include principles of atomic structure, chemical bonding, intermolecular interactions and molecular structures of organic and inorganic compounds including some transition metal complexes. Relevant examples will be drawn from such areas as environmental, materials, and biological chemistry. 3 hrs. lec, 2 hrs. rec."	Leonard Vuocolo	1<>2<>3<>4<>5	1030	1150	DH 2302
09217	Organic Chemistry I	9	Chemistry	"This course presents an overview of structure and bonding as it pertains to organic molecules. Selected topics include: introduction to functional group chemistry, stereochemistry, conformational analysis, reaction mechanisms and use of retrosynthetic analysis in the development of multistep syntheses. Methods for structure determination of organic compounds by modern spectroscopic techniques are introduced. 3 hrs. lec., 1 hr. rec."	Gloria Silva	1<>2<>3<>4<>5	900	1020	DH 2302
09435	Independent Study Chemistry	None	Chemistry	The course allows students to earn academic credit for concentrated study in a topic area developed in conjunction with and monitored by a faculty member in the Department of Chemistry.  These topics are distinct from projects that would rise to the level of undergraduate research either because they are in unrelated areas distinct from the faculty members research interests or may constitute the investigation and compilation of existing information from a variety of resources and may not be expected to result in the generation of new information as is a reasonable expected outcome in undergraduate research (likely is not publishable).	Karen Stump	NA	NA	NA	NA
09445	Undergraduate Research	None	Chemistry	"Properly qualified students may undertake research projects under the direction of members of the faculty, normally 6 to 12 hrs/week. A written, detailed report describing the project and results is required. Course may be taken only with the consent of a faculty research advisor in chemistry or on occasion in another department provided that the project is chemical in nature and with permission of the Director of Undergraduate Studies. The number of units taken generally corresponds to the actual number of hours the student actually spends in the lab doing research during the week. Maximum number of units taken per semester is 18."	Karen Stump	NA	NA	NA	NA
09861	Chemical Research	None	Chemistry	None	Instructor TBA	NA	NA	NA	NA
09861	Chemical Research	None	Chemistry	None	Rebecca Freeland	NA	NA	NA	NA
09871	Doctoral Dissertation	5	Chemistry	None	Rebecca Freeland	NA	NA	NA	NA
09990	TBA	None	Chemistry	None	Rebecca Freeland	NA	NA	NA	NA
09990	TBA	None	Chemistry	None	Rebecca Freeland	NA	NA	NA	NA
10500	Senior Research Project	None	Machine Learning	Register for this course if you are minoring in Machine Learning. This course is intended for research with a faculty member that would count towards the minor.	William Cohen	NA	NA	NA	NA
10635	Practicum	None	Machine Learning	This course will enable masters students to conduct research in industry and will count as part of the research requirements toward your degree. You must submit a written summary at the end of the internship.	William Cohen	NA	NA	NA	NA
10697	Reading and Research	None	Machine Learning	Course for MS students to work with their advisor on research	Instructor TBA	NA	NA	NA	NA
10920	Graduate Reading and Research	None	Machine Learning	This course is for graduate students to work on research with their advisor before they propose their thesis topic.	Geoffrey Gordon	NA	NA	NA	NA
10930	Dissertation Research	None	Machine Learning	This course is for graduate students to work on their dissertation research after they have proposed their thesis topic.	Geoffrey Gordon	NA	NA	NA	NA
10935	Practicum	None	Machine Learning	This course is intended for you to gain industry research experience while using the skills you have learned in the ML curriculum and will count towards the research units for your degree.	Geoffrey Gordon	NA	NA	NA	NA
11630	MCDS Practicum	0	Language Technologies Institute	The MCDS Practicum course is used for recording CDS students summer internships for the MCDS Program.  Section A is used for 7-month internship opportunities Section B is used for Returning Fall Analytic students who DO NOT attain a 7-mo Internships.  Section R is used to record MCDS students Internship Requirements	Eric Nyberg<>Anthony Tomasic<>Garth Gibson<>Majd Sakr	NA	NA	NA	NA
11632	Data Science Analytics Capstone	24	Language Technologies Institute	The MCDS-Capstone course is the final large team project for MCDS master degree students. Students take 11-632 as a combined capstone course for process  outcomes. This process  outcome course evaluates the project teams use of software engineering methodology and evaluates the outcomes of the project.	Instructor TBA	NA	NA	NA	NA
11633	MCDS Independent Study	None	Language Technologies Institute	An independent study course is designed by the student to cover study of a particular area of interest too the student and is used when there is no formal course available in that subject area.	Instructor TBA	NA	NA	NA	NA
11910	Directed Research	None	Language Technologies Institute	"This course number documents the research being done by Masters and pre-proposal PhD students. Beginning in Fall 2001, every LTI graduate student will register for at least 24 units of 11-910 each semester, unless they are ABD (i.e., they have had a thesis proposal accepted), in which case they should register for 48 units of 11-930. The student will be expected to write a report and give a presentation at the end of the semester, documenting the research done. The report will be filed by either the faculty member or the LTI graduate program administrator.   (Until Fall 2001 this course number was used for individual study in connection with LTI project research work and was a Pass/Fail course.)"	Instructor TBA	NA	NA	NA	NA
11910	Directed Research	None	Language Technologies Institute	"This course number documents the research being done by Masters and pre-proposal PhD students. Beginning in Fall 2001, every LTI graduate student will register for at least 24 units of 11-910 each semester, unless they are ABD (i.e., they have had a thesis proposal accepted), in which case they should register for 48 units of 11-930. The student will be expected to write a report and give a presentation at the end of the semester, documenting the research done. The report will be filed by either the faculty member or the LTI graduate program administrator.   (Until Fall 2001 this course number was used for individual study in connection with LTI project research work and was a Pass/Fail course.)"	Robert Frederking	NA	NA	NA	NA
11920	Independent Study: Breadth	None	Language Technologies Institute	This course number is intended for individual study with faculty other than a students intended thesis advisor.	Robert Frederking	NA	NA	NA	NA
11925	Independent Study: Area	None	Language Technologies Institute	This course number is intended for individual study with the intended thesis advisor prior to acceptance of a students thesis proposal.	Instructor TBA	NA	NA	NA	NA
11927	MIIS Capstone Project	36	Language Technologies Institute	"The capstone project course is a group-oriented demonstration of student skill in one or more areas covered by the degree. Typically the result of the capstone project is a major software application. The capstone project course consists of two components.  The classroom component guides students in project planning, team management, development of requirements and design specifications, and software tools for managing group-oriented projects.  The lab component provides project-specific technical guidance and expertise, for example in the development of a question answering system, dialog, or sentiment analysis application.  Thus, each project receives two types of supervision, often from two separate members of the faculty."	Instructor TBA	NA	NA	NA	NA
11930	Dissertation Research	None	Language Technologies Institute	This course number is intended for PhD dissertation research after acceptance of a students PhD thesis proposal.	Instructor TBA	NA	NA	NA	NA
11930	Dissertation Research	None	Language Technologies Institute	This course number is intended for PhD dissertation research after acceptance of a students PhD thesis proposal.	Robert Frederking	NA	NA	NA	NA
11935	LTI Practicum	None	Language Technologies Institute	This course is intended as an internship course for students who are doing Curricular Practical Training (CPT) as part of their graduate degree.	James Callan	NA	NA	NA	NA
11935	LTI Practicum	None	Language Technologies Institute	This course is intended as an internship course for students who are doing Curricular Practical Training (CPT) as part of their graduate degree.	Robert Frederking	NA	NA	NA	NA
12791	Graduate Project	None	Civil & Environmental Engineering	Independent investigation and a comprehensive report on a project selected from a major area of study with the advice and approval of the faculty.  Variable units.    Prerequisites: permission of advisor.	Instructor TBA	NA	NA	NA	NA
12792	Advanced Independent Study	None	Civil & Environmental Engineering	In-Depth investigfation of selected advanced topics not offered in formal courses.  By special arrangement upon demand and with approval of the instructor.  Prerequisites: Permission of instructor.	Instructor TBA	NA	NA	NA	NA
12799	Ph.D. Thesis	None	Civil & Environmental Engineering	"Independent research on significant fundamental problems in a major area of study, with the advice and approval of the faculty. Required of candidates for the degree of Doctor of Philosophy in Civil and Environmental Engineering."	Instructor TBA	NA	NA	NA	NA
12799	Ph.D. Thesis	None	Civil & Environmental Engineering	"Independent research on significant fundamental problems in a major area of study, with the advice and approval of the faculty. Required of candidates for the degree of Doctor of Philosophy in Civil and Environmental Engineering."	Instructor TBA	NA	NA	NA	NA
12993	Reading and Research in Civil and Environmental Engineering	None	Civil & Environmental Engineering	This reading and research course is designed for CEE research assistants (PhD and MS RAs) to reflect activity related to their research during the Summer semester.	Instructor TBA	NA	NA	NA	NA
12994	Internship in Civil and Environmental Engineering	None	Civil & Environmental Engineering	"The Department of Civil and Environmental Engineering considers experiential learning opportunities important educational options for its graduate students. One such option is an internship, normally completed during the summer.   If a student receives an internship, the CEE Graduate Office will add the internship course to the students schedule, and the student will be assessed tuition for 3 units. Upon completion of the internship, students must submit a two page report with supervisor signature detailing the work experience and including how the internship was related to Civil  Environmental Engineering. After the report has been reviewed and approved, a letter grade will be assigned and these 3 units will count towards degree requirements.   International students interested in registering for the internship course should also be authorized by the Office of International Education (OIE)."	David Dzombak	NA	NA	NA	NA
12995	Practicum in Civil and Environmental Engineering	None	Civil & Environmental Engineering	This Section R Course consists on an internship undertaken in absentia from Carnegie Mellon University. Units earned for this course are not eligible for graduate requirements. Enrollment is limited to graduate students in Civil and Environmental Engineering.	Instructor TBA	NA	NA	NA	NA
14699	Silicon Valley Residency	0	Information Networking Institute	This course is for INI bicoastal students who are fulfilling a semester of residency as part of degree requirements.  Residency is defined as being physically present on the SV campus and physically attending class(es) for one full semesters (16-month students; Fall 2) or for two full semesters (20-month students; Fall 2  Spring 2).  Courses taken remotely will not fulfill the residency requirement.	Instructor TBA	NA	NA	NA	NA
14700	INI Project/Thesis Research	None	Information Networking Institute	This course is for INI students who are working on research for their masters thesis or graduate project.  A student must receive special permission to register for this course.  Please contact the INI Enrollment Services Office for more info at ini-enrollment@andrew.cmu.edu.	Dena Tsamitis	NA	NA	NA	NA
14706	Information Networking Project	None	Information Networking Institute	"This course is for INI students who are defending their development-based project and submitting a technical report.  Enrollment requires special permission, therefore, the INI Enrollment Services Office will register those who should be."	Dena Tsamitis	NA	NA	NA	NA
14707	Information Networking Thesis	None	Information Networking Institute	"This course is for INI students who are defending and submitting an academic research-based masters thesis.  Enrollment requires special permission,therefore, the INI Enrollment Services Office will enroll those who should be."	Dena Tsamitis	NA	NA	NA	NA
14708	INI Independent Study	None	Information Networking Institute	"This course is for INI students only.   If there is a special topic that interests a student, and if there are no courses covering the topic in-depth, the student may negotiate an independent study course with a faculty member. If the student can find a faculty member who agrees to supervise such a course, the student must submit a petition for Advisors approval and a comprehensive project proposal.  The specific proposal requirements are explained in the INI Student Handbook.  Special permission is required to enroll, therefore, eligible students should contact the INI Enrollment Services Office."	Dena Tsamitis	NA	NA	NA	NA
14708	INI Independent Study	None	Information Networking Institute	"This course is for INI students only.   If there is a special topic that interests a student, and if there are no courses covering the topic in-depth, the student may negotiate an independent study course with a faculty member. If the student can find a faculty member who agrees to supervise such a course, the student must submit a petition for Advisors approval and a comprehensive project proposal.  The specific proposal requirements are explained in the INI Student Handbook.  Special permission is required to enroll, therefore, eligible students should contact the INI Enrollment Services Office."	Dena Tsamitis	NA	NA	NA	NA
14797	Internship	None	Information Networking Institute	"This course is for INI students who are pursuing an internship.    Special permission is required to be enrolled in this course, therefore, eligible students should contact the INI Enrollment Services Office."	Dena Tsamitis	NA	NA	NA	NA
15090	Computer Science Practicum	3	Computer Science	"This course is for Computer Science students who wish to have an  internship experience as part of their curriculum. Students are required  to write a one-page summary statement prior to registration that  explains how their internship connects with their CS curriculum,  specifically on how it uses material they have learned as well as  prepares them for future courses. Near the end of the internship,  students will be required to submit a reflection paper that describes  the work they did in more detail, including lessons learned about the  work experience and how they utilized their CS education to work  effectively. International students should consult with the Office of  International Education for appropriate paperwork and additional  requirements before registration. Units earned count toward the total  required units necessary for degree completion; students should speak  with an academic advisor for details. This course may be taken at most 3  times for a total of 9 units maximum. Students normally register for  this course for use during the summer semester."	Thomas Cortina	NA	NA	NA	NA
15112	Fundamentals of Programming and Computer Science	12	Computer Science	"A technical introduction to the fundamentals of programming with an emphasis  on producing clear, robust, and reasonably efficient code using top-down  design, informal analysis, and effective testing and debugging. Starting  from first principles, we will cover a large subset of the Python  programming language, including its standard libraries and programming  paradigms.  We will also target numerous deployment scenarios, including  standalone programs, shell scripts, and web-based applications.  This course assumes no prior programming experience. Even so, it is a  fast-paced and rigorous preparation for 15-122.  Students seeking a more  gentle introduction to computer science should consider first taking 15-110.    NOTE: students must achieve a C or better in order to use   this course to satisfy the pre-requisite for any subsequent Computer   Science course."	Anil Ada	1<>2<>3<>4<>5	900	1020	DH A302
15121	Introduction to Data Structures	10	Computer Science	"A continuation of the process of program design and analysis for  students with some prior programming experience (functions, loops, and  arrays, not necessarily in Java). The course reinforces object-oriented  programming techniques in Java and covers data aggregates, data  structures (e.g., linked lists, stacks, queues, trees, and graphs), and  an introduction to the analysis of algorithms that operate on those data  structures.  Pre-req: 15-112 or placement"	Houda Bouamor	1<>2<>3<>4<>5	900	1020	GHC 4215
15150	Principles of Functional Programming	10	Computer Science	"An introduction to programming based on a functional model of computation.  The functional model is a natural generalization of algebra in which programs are formulas that describe the output of a computation in terms of its inputs---that is, as a function.  But instead of being confined to real- or complex-valued functions, the functional model extends the algebraic view to a very rich class of data types, including not only aggregates built up from other types, but also functions themselves as values.  This course is an introduction to programming that is focused on the central concepts of function and type.  One major theme is the interplay between inductive types, which are built up incrementally; recursive functions, which compute over inductive types by decomposition; and proof by structural induction, which is used to prove the correctness and time complexity of a recursive function.  Another major theme is the role of types in structuring large programs into separate modules, and the integration of imperative programming through the introduction of data types whose values may be altered during computation.    NOTE: students must achieve a C or better in order to use   this course to satisfy the pre-requisite for any subsequent Computer   Science course."	Brandon Bohrer	1<>2<>3<>4<>5	900	1020	NA
15213	Introduction to Computer Systems	12	Computer Science	"This course provides a programmers view of how computer systems execute programs, store information, and communicate. It enables students to become more effective programmers, especially in dealing with issues of performance, portability and robustness. It also serves as a foundation for courses on compilers, networks, operating systems, and computer architecture, where a deeper understanding of systems-level issues is required. Topics covered include: machine-level code and its generation by optimizing compilers, performance evaluation and optimization, computer arithmetic, memory organization and management, networking technology and protocols, and supporting concurrent computation. NOTE FOR GRADUATE STUDENTS: This course is not open to graduate students beginning Spring 2015. Graduate students must register for 15-513 instead."	Brian Railing	2<>3<>4<>5	1200	120	GHC 4215
15213	Introduction to Computer Systems	12	Computer Science	"This course provides a programmers view of how computer systems execute programs, store information, and communicate. It enables students to become more effective programmers, especially in dealing with issues of performance, portability and robustness. It also serves as a foundation for courses on compilers, networks, operating systems, and computer architecture, where a deeper understanding of systems-level issues is required. Topics covered include: machine-level code and its generation by optimizing compilers, performance evaluation and optimization, computer arithmetic, memory organization and management, networking technology and protocols, and supporting concurrent computation. NOTE FOR GRADUATE STUDENTS: This course is not open to graduate students beginning Spring 2015. Graduate students must register for 15-513 instead."	Brian Railing	NA	NA	NA	NA
15513	Introduction to Computer Systems	12	Computer Science	"This course provides a programmers view of how computer systems execute programs, store information, and communicate. It enables students to become more effective programmers, especially in dealing with issues of performance, portability and robustness. It also serves as a foundation for courses on compilers, networks, operating systems, and computer architecture, where a deeper understanding of systems-level issues is required. Topics covered include: machine-level code and its generation by optimizing compilers, performance evaluation and optimization, computer arithmetic, memory organization and management, networking technology and protocols, and supporting concurrent computation.  You can sign up for 15-513 for either 6 or 12 credits.  The reason there are two options is that you might be taking 15-513 in order to review the material and qualify to take other courses in your program. If this is the case, we expect that the work load for 15-513 will be more like a 6 unit class.  If, on the other hand, you are seeing the material for the first time, then it will be like a 12-unit course for you.  So, you need to decide, possibly in conjunction with your advisor which situation you are in and then sign up for the proper number of units."	Brian Railing	NA	NA	NA	NA
15689	Independent Study in the Computer Sciences	None	Computer Science	This course is for Masters student who plan to do an Independent Study in the Master of Science program within the Computer Science Department - SECTION A or enrolled in the ISR Master of Computational Data Science program SECTION B.  You will placed on the waitlist until your advisor gives you permission to proceed.	David Eckhardt	NA	NA	NA	NA
15691	Practicum	None	Computer Science	To be determined	David Eckhardt<>Karl Crary	NA	NA	NA	NA
15697	Graduate Reading and Research	None	Computer Science	None	Instructor TBA	NA	NA	NA	NA
15698	Graduate Reading and Research	None	Computer Science	None	Instructor TBA	NA	NA	NA	NA
15997	Graduate Reading and Research	None	Computer Science	None	Instructor TBA	NA	NA	NA	NA
15997	Graduate Reading and Research	None	Computer Science	None	Instructor TBA	NA	NA	NA	NA
15998	Practicum in Computer Science	None	Computer Science	None	Instructor TBA	NA	NA	NA	NA
16597	Undergraduate Reading and Research	None	Robotics	Missing Course Description - please contact the teaching department.	Howard Choset	NA	NA	NA	NA
16990	TBA	None	Robotics	Missing Course Description - please contact the teaching department.	David Wettergreen	NA	NA	NA	NA
16990	TBA	None	Robotics	Missing Course Description - please contact the teaching department.	David Wettergreen	NA	NA	NA	NA
