Instructor	Course	Hours per week	Interest in student learning	Explain course requirements	Clear learning goals	Instructor provided feedback to students	Importance of subject	Explains subject matter	Show respect for students	Overall teaching	Overall course	Number of times taught
"Whipple, R."	0	5.43	4.54	4.44	4.46	4.43	4.5	4.41	4.59	4.37	4.38	84
Susan Tsu	0	10.69	4.28	3.65	3.77	3.93	4.08	3.88	4.36	4.04	3.93	83
"Tsu, S."	0	10.69	4.28	3.65	3.77	3.93	4.08	3.88	4.36	4.04	3.93	83
Conrad Zapanta	0	8.24	4.71	4.62	4.64	4.4	4.59	4.54	4.79	4.63	4.48	82
"Zapanta, C."	0	8.24	4.71	4.62	4.64	4.4	4.59	4.54	4.79	4.63	4.48	82
"Root, D."	0	11.97	4.19	4.08	4.15	4.05	4.18	4.13	4.29	4.18	4.09	79
David Root	0	11.97	4.19	4.08	4.15	4.05	4.18	4.13	4.29	4.18	4.09	79
Gregory Kesden	0	13.05	4.25	3.97	4.13	3.78	4.27	4.12	3.99	4.08	4.13	73
"Kesden, G."	0	13.05	4.25	3.97	4.13	3.78	4.27	4.12	3.99	4.08	4.13	73
"Ghosh, K."	0	9	4.66	4.37	4.38	4.12	4.45	4.34	4.58	4.42	4.16	72
Kunal Ghosh	0	9	4.66	4.37	4.38	4.12	4.45	4.34	4.58	4.42	4.16	72
"Russman, B."	0	8.31	4.61	4.34	4.34	4.52	4.47	4.39	4.12	4.34	4.33	71
Brian Russman	0	8.31	4.61	4.34	4.34	4.52	4.47	4.39	4.12	4.34	4.33	71
"Shea, L."	0	7.85	4.05	3.54	3.59	3.85	4.01	3.8	4.21	3.81	3.74	71
Lawrence Shea	0	7.85	4.05	3.54	3.59	3.85	4.01	3.8	4.21	3.81	3.74	71
"Vosburgh, G."	0	6.61	4.57	4.56	4.57	4.49	4.62	4.57	4.42	4.53	4.48	70
George Vosburgh	0	6.61	4.57	4.56	4.57	4.49	4.62	4.57	4.42	4.53	4.48	70
Dylan Vitone	0	8.26	4.78	4.49	4.56	4.52	4.63	4.63	4.67	4.68	4.68	68
"Vitone, D."	0	8.26	4.78	4.49	4.56	4.52	4.63	4.63	4.67	4.68	4.68	68
"Mundell, A."	0	9.97	4.53	3.88	4.09	4.17	4.29	4.17	4.54	4.31	4.16	68
Anne Mundell	0	9.97	4.53	3.88	4.09	4.17	4.29	4.17	4.54	4.31	4.16	68
Donald Wadsworth	0	8.64	4.52	4.59	4.49	4.36	4.6	4.6	4.51	4.47	4.45	67
"Wadsworth, D."	0	8.64	4.52	4.59	4.49	4.36	4.6	4.6	4.51	4.47	4.45	67
"Feindel, J."	0	5.03	4.27	3.32	3.39	3.65	3.84	3.37	4.12	3.37	3.26	67
Janet Feindel	0	5.03	4.27	3.32	3.39	3.65	3.84	3.37	4.12	3.37	3.26	67
Paul Johnston	0	3.68	4.43	4.32	4.31	3.94	4.36	4.25	4.56	4.18	4.04	66
Lowell Carver	0	5.92	4.7	4.7	4.68	4.65	4.73	4.64	4.67	4.63	4.59	65
"Carver, L."	0	5.92	4.7	4.7	4.68	4.65	4.73	4.64	4.67	4.63	4.59	65
"Brodsky, C."	0	6.75	4.71	4.48	4.52	4.48	4.55	4.47	4.62	4.45	4.41	65
Charlee Brodsky	0	6.75	4.71	4.48	4.52	4.48	4.55	4.47	4.62	4.45	4.41	65
Leonard Vuocolo	0	7.47	4.16	4.12	4.05	3.71	3.89	3.88	4.39	3.87	3.6	65
Chante Boyd	0	7.25	4.38	4.33	4.25	4.02	4.39	4.41	4.52	4.34	4.27	64
Gregory Lehane	0	5.72	3.9	3.44	3.6	3.84	4.04	3.73	3.64	3.68	3.58	64
"Lehane, G."	0	5.72	3.9	3.44	3.6	3.84	4.04	3.73	3.64	3.68	3.58	64
Catherine Moore	0	6.97	4.76	4.7	4.74	4.63	4.79	4.79	4.4	4.71	4.73	63
David Anderson	0	6.86	4.8	4.75	4.68	4.66	4.68	4.79	4.87	4.86	4.67	63
"Anderson, D."	0	6.86	4.8	4.75	4.68	4.66	4.68	4.79	4.87	4.86	4.67	63
Kevin Hines	0	6.97	4.42	4	4.05	4.09	4.39	4.27	4.62	4.26	4.17	62
"Hines, K."	0	6.97	4.42	4	4.05	4.09	4.39	4.27	4.62	4.26	4.17	62
Majd Sakr	0	17.01	4.06	4.07	4.15	3.78	4.17	4.02	4.22	4	4.06	62
"Sakr, M."	0	17.01	4.06	4.07	4.15	3.78	4.17	4.02	4.22	4	4.06	62
"Wu, C."	0	6.3	4.79	4.73	4.74	4.8	4.78	4.81	4.8	4.78	4.62	61
Christopher Wu	0	6.3	4.79	4.73	4.74	4.8	4.78	4.81	4.8	4.78	4.62	61
David Lamont	0	8.44	4.41	4.49	4.52	4.28	4.52	4.46	4.7	4.45	4.38	61
April Rupp	0	2.41	3.4	3.73	3.7	3.42	3.4	3.48	3.81	3.56	3.34	61
"Brown, C."	0	8.46	4.39	4.29	4.36	4.24	4.44	4.26	4.46	4.38	4.36	59
Christian Brown	0	8.46	4.39	4.29	4.36	4.24	4.44	4.26	4.46	4.38	4.36	59
"Sadeh, N."	0	9.74	4.5	4.55	4.51	4.34	4.6	4.51	4.65	4.5	4.41	57
Norman Sadeh	0	9.74	4.5	4.55	4.51	4.34	4.6	4.51	4.65	4.5	4.41	57
Tianxue Yao	0	8.47	4.79	4.69	4.73	4.72	4.69	4.73	4.8	4.76	4.66	56
Stephen Schultz	0	4.88	4.46	4.52	4.47	4.33	4.58	4.53	4.37	4.39	4.37	56
"Schultz, S."	0	4.88	4.46	4.52	4.47	4.33	4.58	4.53	4.37	4.39	4.37	56
James Williams	0	8.57	4.54	4.33	4.33	4.43	4.49	4.41	4.58	4.41	4.35	56
"Williams, J."	0	8.57	4.54	4.33	4.33	4.43	4.49	4.41	4.58	4.41	4.35	56
Stefan Labash	0	7.33	4.39	4.14	4.3	4.43	4.51	4.36	4.58	4.37	4.18	56
"Labash, S."	0	7.33	4.39	4.14	4.3	4.43	4.51	4.36	4.58	4.37	4.18	56
"Branson, J."	0	10.74	4.65	4.61	4.61	4.65	4.69	4.64	4.54	4.65	4.62	55
Jeremy Branson	0	10.74	4.65	4.61	4.61	4.65	4.69	4.64	4.54	4.65	4.62	55
Janice Vairo	0	7.37	4.72	4.56	4.55	4.53	4.63	4.69	4.48	4.65	4.61	55
"Zamborsky, B."	0	4.37	4.58	4.45	4.4	4.46	4.41	4.46	4.65	4.45	4.49	55
Beth Zamborsky	0	4.37	4.58	4.45	4.4	4.46	4.41	4.46	4.65	4.45	4.49	55
"Wasserman, A."	0	12.52	4.23	4.02	4.13	4.05	4.31	4.17	4.41	4.11	4.06	55
Anthony Wasserman	0	12.52	4.23	4.02	4.13	4.05	4.31	4.17	4.41	4.11	4.06	55
Carolyn Rose	0	8.87	4.48	4.32	4.29	4.31	4.33	4.1	4.51	4.13	4.05	55
"Conte, J."	0	4.4	4.92	4.81	4.81	4.84	4.78	4.87	4.84	4.86	4.83	54
Judith Conte	0	4.4	4.92	4.81	4.81	4.84	4.78	4.87	4.84	4.86	4.83	54
Nancy Galbraith	0	6.43	4.76	4.71	4.72	4.64	4.7	4.76	4.77	4.68	4.66	54
"Galbraith, N."	0	6.43	4.76	4.71	4.72	4.64	4.7	4.76	4.77	4.68	4.66	54
Mahmood-Reza Vali	0	8.3	4.79	4.71	4.74	4.54	4.72	4.74	4.88	4.77	4.64	54
"Vali, M."	0	8.3	4.79	4.71	4.74	4.54	4.72	4.74	4.88	4.77	4.64	54
Robert Page	0	5.49	4.72	4.54	4.6	4.54	4.74	4.68	4.29	4.74	4.64	53
Neal Berntsen	0	8.96	4.54	4.55	4.58	4.54	4.56	4.58	4.39	4.49	4.54	53
"Berntsen, N."	0	8.96	4.54	4.55	4.58	4.54	4.56	4.58	4.39	4.49	4.54	53
Jeffrey Williams	0	8.67	4.54	4.34	4.36	4.45	4.5	4.43	4.57	4.43	4.38	53
"Black, A."	0	6.44	4.5	4.1	4.24	4.04	4.49	4.48	4.71	4.49	4.31	53
Alan Black	0	6.44	4.5	4.1	4.24	4.04	4.49	4.48	4.71	4.49	4.31	53
Henry Spinelli	0	8.76	4.84	4.62	4.68	4.75	4.78	4.74	4.83	4.75	4.7	52
"Garrod, C."	0	13.33	4.62	4.52	4.56	4.43	4.57	4.54	4.65	4.57	4.49	51
Charles Garrod	0	13.33	4.62	4.52	4.56	4.43	4.57	4.54	4.65	4.57	4.49	51
"Bass, M."	0	12.75	4.04	3.94	4.04	3.96	4.12	4.01	4.33	3.98	4.02	51
Matthew Bass	0	12.75	4.04	3.94	4.04	3.96	4.12	4.01	4.33	3.98	4.02	51
Peter Sullivan	0	6.21	4.86	4.83	4.83	4.94	4.88	4.9	4.82	4.89	4.85	50
"Sullivan, P."	0	6.21	4.86	4.83	4.83	4.94	4.88	4.9	4.82	4.89	4.85	50
Huiwen Li	0	8.74	4.85	4.63	4.69	4.77	4.79	4.75	4.83	4.77	4.71	50
Thomas Cousin	0	3.39	4.8	4.63	4.58	4.52	4.78	4.58	4.52	4.61	4.62	50
"Miller, J."	0	7.3	4.42	4.19	4.27	4.37	4.34	4.25	4.47	4.27	4.13	50
John Miller	0	7.3	4.42	4.19	4.27	4.37	4.34	4.25	4.47	4.27	4.13	50
Brenda Harger	0	9.32	4.59	4.52	4.53	4.5	4.59	4.5	4.76	4.61	4.58	49
"Harger, B."	0	9.32	4.59	4.52	4.53	4.5	4.59	4.5	4.76	4.61	4.58	49
Karen Verm	0	3.67	4.64	4.36	4.53	4.72	4.7	4.68	4.72	4.67	4.56	49
"Verm, K."	0	3.67	4.64	4.36	4.53	4.72	4.7	4.68	4.72	4.67	4.56	49
John Folan	0	17.39	4.72	4.33	4.39	4.28	4.78	4.5	4.26	4.51	4.46	49
"Folan, J."	0	17.39	4.72	4.33	4.39	4.28	4.78	4.5	4.26	4.51	4.46	49
William Nace	0	12.82	4.51	4.52	4.54	4.09	4.49	4.39	4.71	4.42	4.3	49
"Nace, W."	0	12.82	4.51	4.52	4.54	4.09	4.49	4.39	4.71	4.42	4.3	49
Thomas Sullivan	0	10.81	4.3	4.3	4.25	3.87	4.36	4.23	4.61	4.15	4.11	49
"Sullivan, T."	0	10.81	4.3	4.3	4.25	3.87	4.36	4.23	4.61	4.15	4.11	49
Robert Reid	0	4.83	4.21	4.16	4.07	3.69	4.16	3.94	4.32	3.94	3.77	49
James Ferla	0	4.96	4.78	4.68	4.65	4.65	4.74	4.71	4.91	4.75	4.72	48
"Ferla, J."	0	4.96	4.78	4.68	4.65	4.65	4.74	4.71	4.91	4.75	4.72	48
"Cardenes, A."	0	15	4.69	4.73	4.76	4.57	4.73	4.63	4.45	4.57	4.57	48
Andres Cardenes	0	15	4.69	4.73	4.76	4.57	4.73	4.63	4.45	4.57	4.57	48
Barbara Mackenzie-Wood	0	10.97	4.65	4.51	4.52	4.47	4.66	4.52	4.38	4.54	4.56	48
"Mackenzie-Wood, B."	0	10.97	4.65	4.51	4.52	4.47	4.66	4.52	4.38	4.54	4.56	48
Charlene Castellano	0	7.84	4.6	4.51	4.44	4.51	4.45	4.55	4.71	4.54	4.51	48
Natalie Ozeas	0	6.06	4.64	4.29	4.36	4.46	4.48	4.42	4.69	4.52	4.49	48
"Ozeas, N."	0	6.06	4.64	4.29	4.36	4.46	4.48	4.42	4.69	4.52	4.49	48
Barry Luokkala	0	6.41	4.54	4.59	4.54	4.28	4.47	4.56	4.58	4.53	4.39	48
"Luokkala, B."	0	6.41	4.54	4.59	4.54	4.28	4.47	4.56	4.58	4.53	4.39	48
John Evans	0	9.5	4.63	4.23	4.31	4.36	4.53	4.44	4.84	4.52	4.36	48
"Evans, J."	0	9.5	4.63	4.23	4.31	4.36	4.53	4.44	4.84	4.52	4.36	48
Jill Miller	0	7.34	4.4	4.16	4.25	4.35	4.31	4.23	4.45	4.25	4.1	48
"Gibson, G."	0	12.72	4.57	4.52	4.53	4.35	4.6	4.55	4.61	4.53	4.55	47
Garth Gibson	0	12.72	4.57	4.52	4.53	4.35	4.6	4.55	4.61	4.53	4.55	47
Gabriele Maier	0	7.35	4.75	4.6	4.56	4.61	4.57	4.61	4.81	4.67	4.53	47
"Maier, G."	0	7.35	4.75	4.6	4.56	4.61	4.57	4.61	4.81	4.67	4.53	47
"Lattanze, A."	0	13.39	4.41	4.39	4.43	4.37	4.47	4.45	4.47	4.47	4.44	47
Anthony Lattanze	0	13.39	4.41	4.39	4.43	4.37	4.47	4.45	4.47	4.47	4.44	47
Patrick Tague	0	10.03	4.58	4.57	4.51	4.5	4.62	4.53	4.75	4.56	4.42	47
"Tague, P."	0	10.03	4.58	4.57	4.51	4.5	4.62	4.53	4.75	4.56	4.42	47
"Blackwell, R."	0	6.39	4.37	4.2	4.2	4.31	4.39	4.31	4.5	4.28	4.15	47
Raymond Blackwell	0	6.39	4.37	4.2	4.2	4.31	4.39	4.31	4.5	4.28	4.15	47
"Mertz, J."	0	11.5	4.21	4.12	4.14	3.96	4.19	4.12	4.44	4.07	4.07	47
Joseph Mertz	0	11.5	4.21	4.12	4.14	3.96	4.19	4.12	4.44	4.07	4.07	47
Timothy Flaherty	0	8.2	4.16	4	4.05	3.71	3.89	3.86	4.24	3.91	3.82	47
"Flaherty, T."	0	8.2	4.16	4	4.05	3.71	3.89	3.86	4.24	3.91	3.82	47
"Root, S."	0	13.72	4.66	4.49	4.52	4.57	4.64	4.58	4.79	4.64	4.42	46
Sheryl Root	0	13.72	4.66	4.49	4.52	4.57	4.64	4.58	4.79	4.64	4.42	46
"Zywica, M."	0	10.86	4.53	3.85	4	4.27	4.39	4.34	4.7	4.32	4.31	46
Matthew Zywica	0	10.86	4.53	3.85	4	4.27	4.39	4.34	4.7	4.32	4.31	46
Clarence Heimann	0	10.39	4.62	4.38	4.47	4.33	4.56	4.38	4.65	4.45	4.3	46
"Heimann, C."	0	10.39	4.62	4.38	4.47	4.33	4.56	4.38	4.65	4.45	4.3	46
Eric Nyberg	0	10.47	4.42	4.31	4.34	4.43	4.38	4.37	4.54	4.37	4.3	46
"Nyberg, E."	0	10.47	4.42	4.31	4.34	4.43	4.38	4.37	4.54	4.37	4.3	46
Bhiksha Ramakrishnan	0	10.25	4.45	4.2	4.33	4.06	4.46	4.36	4.58	4.38	4.28	46
"Ramakrishnan, B."	0	10.25	4.45	4.2	4.33	4.06	4.46	4.36	4.58	4.38	4.28	46
Jennifer Keating-Miller	0	7.76	4.48	4.23	4.31	4.4	4.4	4.32	4.55	4.35	4.18	46
"Keating-Miller, J."	0	7.76	4.48	4.23	4.31	4.4	4.4	4.32	4.55	4.35	4.18	46
Lynne Pastor	0	8.63	4.26	4.41	4.41	4.03	4.37	4.35	4.37	4.24	4.15	46
Irina Gheorghiciuc	0	9.73	4.36	4.38	4.33	4.11	4.15	4.34	4.45	4.27	4.14	46
"Caton, J."	0	4.53	4.75	4.66	4.59	4.71	4.66	4.72	4.7	4.74	4.75	45
James Caton	0	4.53	4.75	4.66	4.59	4.71	4.66	4.72	4.7	4.74	4.75	45
"Herbsleb, J."	0	9.84	4.67	4.53	4.58	4.44	4.72	4.66	4.82	4.71	4.56	45
James Herbsleb	0	9.84	4.67	4.53	4.58	4.44	4.72	4.66	4.82	4.71	4.56	45
Wayne Chung	0	10.61	4.17	4.04	4.02	4.18	4.22	4.15	4.47	4.19	4.16	45
"Chung, W."	0	10.61	4.17	4.04	4.02	4.18	4.22	4.15	4.47	4.19	4.16	45
Silvia Borzutzky	0	8.29	4.72	4.65	4.62	4.62	4.75	4.66	4.76	4.68	4.67	44
James Roberts	0	8.48	4.78	4.7	4.72	4.53	4.56	4.62	4.87	4.64	4.61	44
Andrew Twigg	0	9.71	4.65	4.52	4.47	4.47	4.55	4.47	4.83	4.54	4.38	44
"Twigg, A."	0	9.71	4.65	4.52	4.47	4.47	4.55	4.47	4.83	4.54	4.38	44
Fang-Chi Scheide	0	11.86	4.86	4.7	4.72	4.79	4.67	4.71	4.83	4.72	4.64	43
Yasufumi Iwasaki	0	8.9	4.47	4.58	4.52	4.35	4.32	4.48	4.81	4.49	4.35	43
"Iwasaki, Y."	0	8.9	4.47	4.58	4.52	4.35	4.32	4.48	4.81	4.49	4.35	43
Linda Flower	0	9.13	4.64	3.52	3.91	4.37	4.53	4.04	4.51	4.33	4.28	43
Shirley Saldamarco	0	14.57	4.51	4.2	4.24	4.45	4.44	4.3	4.71	4.34	4.21	43
"Saldamarco, S."	0	14.57	4.51	4.2	4.24	4.45	4.44	4.3	4.71	4.34	4.21	43
Sukhjit Singh	0	12.34	4.06	3.95	4.1	3.92	4.09	4	4.32	3.88	3.93	43
"Singh, S."	0	12.34	4.06	3.95	4.1	3.92	4.09	4	4.32	3.88	3.93	43
"Merriman, T."	0	9.12	4.59	4.56	4.56	4.57	4.56	4.75	4.75	4.65	4.58	42
Thomas Merriman	0	9.12	4.59	4.56	4.56	4.57	4.56	4.75	4.75	4.65	4.58	42
Lorrie Cranor	0	11.63	4.58	4.57	4.48	4.53	4.6	4.58	4.68	4.54	4.47	42
"Cranor, L."	0	11.63	4.58	4.57	4.48	4.53	4.6	4.58	4.68	4.54	4.47	42
Leonardo Balada	0	7.66	4.51	4.34	4.35	4.55	4.5	4.37	4.37	4.36	4.33	42
"Balada, L."	0	7.66	4.51	4.34	4.35	4.55	4.5	4.37	4.37	4.36	4.33	42
"Damiani, G."	0	18.02	4.21	4.06	4.14	4.13	4.38	4.21	4.21	4.19	4.26	42
Gerard Damiani	0	18.02	4.21	4.06	4.14	4.13	4.38	4.21	4.21	4.19	4.26	42
Michael West	0	6.36	4.56	3.93	4.07	4.13	4.44	4.4	4.79	4.26	4.14	42
Jessamyn Miller	0	7.07	4.4	4.16	4.25	4.34	4.32	4.23	4.48	4.25	4.09	42
Gregory Johnson	0	8.42	4.07	4.29	4.27	3.82	3.97	4.19	4.26	4.1	4.01	42
Cyrus Forough	0	15.42	4.89	4.77	4.82	4.79	4.88	4.79	4.67	4.82	4.85	41
"Eppinger, J."	0	11.1	4.57	4.62	4.62	4.42	4.61	4.58	4.75	4.61	4.52	41
Jeffrey Eppinger	0	11.1	4.57	4.62	4.62	4.42	4.61	4.58	4.75	4.61	4.52	41
Bernard Carter	0	3.71	4.85	4.27	4.44	4.59	4.69	4.66	4.8	4.5	4.49	41
"Tonkinwise, C."	0	8.84	4.49	3.99	4.21	4.18	4.75	4.67	4.34	4.53	4.4	41
Cameron Tonkinwise	0	8.84	4.49	3.99	4.21	4.18	4.75	4.67	4.34	4.53	4.4	41
Jon Klancher	0	8.86	4.53	4.28	4.27	4.41	4.51	4.47	4.76	4.49	4.35	41
"Klancher, J."	0	8.86	4.53	4.28	4.27	4.41	4.51	4.47	4.76	4.49	4.35	41
"Davidson, A."	0	11.75	4.21	4.29	4.27	4.11	4.12	4.12	4.56	4.21	4.22	41
Arthur Davidson	0	11.75	4.21	4.29	4.27	4.11	4.12	4.12	4.56	4.21	4.22	41
"Weems, M."	0	8.99	4.19	4.07	4.1	4.17	4.31	4.2	4	4.2	4.02	41
Marianne Weems	0	8.99	4.19	4.07	4.1	4.17	4.31	4.2	4	4.2	4.02	41
David Harding	0	15.09	4.75	4.72	4.78	4.8	4.84	4.83	4.75	4.73	4.75	40
"Harding, D."	0	15.09	4.75	4.72	4.78	4.8	4.84	4.83	4.75	4.73	4.75	40
"Dealmeida, C."	0	10.82	4.86	4.78	4.76	4.76	4.82	4.82	4.54	4.78	4.72	40
Cynthia Dealmeida	0	10.82	4.86	4.78	4.76	4.76	4.82	4.82	4.54	4.78	4.72	40
Daniel Boyarski	0	11.57	4.7	4.52	4.55	4.65	4.63	4.54	4.84	4.72	4.61	40
"Boyarski, D."	0	11.57	4.7	4.52	4.55	4.65	4.63	4.54	4.84	4.72	4.61	40
Therese Tardio	0	9.37	4.62	4.15	4.31	4.29	4.54	4.46	4.67	4.5	4.38	40
"Tardio, T."	0	9.37	4.62	4.15	4.31	4.29	4.54	4.46	4.67	4.5	4.38	40
Vivian Loftness	0	14.67	4.56	4.36	4.47	4.5	4.67	4.46	4.64	4.53	4.32	40
"Loftness, V."	0	14.67	4.56	4.36	4.47	4.5	4.67	4.46	4.64	4.53	4.32	40
"Arons, W."	0	6.78	4.44	4.26	4.2	4.28	4.28	4.25	4.62	4.4	4.18	40
Wendy Arons	0	6.78	4.44	4.26	4.2	4.28	4.28	4.25	4.62	4.4	4.18	40
Beth Walter	0	8.54	4.49	4.29	4.35	4.43	4.4	4.32	4.56	4.27	4.09	40
"Walter, B."	0	8.54	4.49	4.29	4.35	4.43	4.4	4.32	4.56	4.27	4.09	40
"Siewiorek, D."	0	10.77	4.23	3.97	4	4.21	4.05	3.96	4.56	4.12	4.02	40
Kristen Kurland	0	8.49	4.71	4.76	4.76	4.55	4.69	4.73	4.8	4.72	4.65	39
"Kurland, K."	0	8.49	4.71	4.76	4.76	4.55	4.69	4.73	4.8	4.72	4.65	39
Eric Defade	0	5.08	4.68	4.61	4.6	4.59	4.68	4.6	4.72	4.64	4.64	39
"Defade, E."	0	5.08	4.68	4.61	4.6	4.59	4.68	4.6	4.72	4.64	4.64	39
Yoshihiro Yasuhara	0	8.9	4.71	4.64	4.63	4.61	4.5	4.62	4.9	4.68	4.54	39
"Rosendahl, C."	0	16.95	4.56	4.46	4.41	4.53	4.52	4.42	4.65	4.58	4.52	39
Carl Rosendahl	0	16.95	4.56	4.46	4.41	4.53	4.52	4.42	4.65	4.58	4.52	39
Anthony Mckay	0	8.89	4.45	4.28	4.36	4.46	4.55	4.33	4.57	4.48	4.39	39
"Mckay, A."	0	8.89	4.45	4.28	4.36	4.46	4.55	4.33	4.57	4.48	4.39	39
Anthony Stanton	0	6.06	4.53	4.31	4.31	4.18	4.44	4.28	4.57	4.25	4.17	39
"Miranda, E."	0	12.06	4.21	3.89	4.05	3.97	4.15	4.05	4.25	3.95	3.93	39
Eduardo Miranda	0	12.06	4.21	3.89	4.05	3.97	4.15	4.05	4.25	3.95	3.93	39
Victor Adamchik	0	13.75	3.98	3.82	3.92	3.44	4.12	3.91	4.07	3.77	3.85	39
"Adamchik, V."	0	13.75	3.98	3.82	3.92	3.44	4.12	3.91	4.07	3.77	3.85	39
Gang Liu	0	7.79	4.9	4.81	4.79	4.73	4.74	4.8	4.86	4.88	4.81	38
Suguru Ishizaki	0	9.04	4.79	4.73	4.64	4.77	4.66	4.68	4.89	4.76	4.69	38
"Premo, D."	0	7.39	4.83	4.68	4.82	4.79	4.85	4.81	4.78	4.76	4.62	38
David Premo	0	7.39	4.83	4.68	4.82	4.79	4.85	4.81	4.78	4.76	4.62	38
Bonnie Youngs	0	9.28	4.79	4.64	4.67	4.73	4.66	4.68	4.75	4.77	4.61	38
"Mannino, J."	0	10.91	4.6	4.46	4.37	4.53	4.46	4.53	4.58	4.55	4.48	38
Joseph Mannino	0	10.91	4.6	4.46	4.37	4.53	4.46	4.53	4.58	4.55	4.48	38
David Gray	0	8	4.62	4.56	4.54	4.31	4.53	4.55	4.6	4.61	4.46	38
"Gray, D."	0	8	4.62	4.56	4.54	4.31	4.53	4.55	4.6	4.61	4.46	38
Melissa Martin	0	7.17	4.58	4.18	4.26	4.46	4.61	4.43	4.69	4.42	4.33	38
