Instructor	Course	Hours per week	Interest in student learning	Explain course requirements	Clear learning goals	Instructor provided feedback to students	Importance of subject	Explains subject matter	Show respect for students	Overall teaching	Overall course	Number of times taught
Christopher Langmead	02-530	14.25	4.75	4.5	4.75	5	4.75	4.5	4.5	4.75	5	2
Phillip Compeau	02-601	13.53	4.21	4.27	4.28	3.85	4.23	4.35	4.42	4.1	4.05	2
"Compeau, P."	02-601	13.53	4.21	4.27	4.28	3.85	4.23	4.35	4.42	4.1	4.05	2
Carleton Kingsford	02-601	12	4.52	4.41	4.48	4.33	4.63	4.41	4.81	4.37	4.48	1
"Kingsford, C."	02-601	12	4.52	4.41	4.48	4.33	4.63	4.41	4.81	4.37	4.48	1
"Subramanian, S."	02-602	4.22	4.07	4.25	4.17	4.28	4.12	4.04	4.19	3.91	3.85	2
Shoba Subramanian	02-602	4.22	4.07	4.25	4.17	4.28	4.12	4.04	4.19	3.91	3.85	2
Phillip Compeau	02-602	2.3	4.18	4.27	4.18	4.27	4.18	4	4	3.91	4	1
"Compeau, P."	02-602	2.3	4.18	4.27	4.18	4.27	4.18	4	4	3.91	4	1
Karen Thickman	02-602	5.57	4.14	4.14	4.14	4.29	4.14	4	4.29	4	3.57	1
"Thickman, K."	02-602	5.57	4.14	4.14	4.14	4.29	4.14	4	4.29	4	3.57	1
Phillip Compeau	02-604	19	4.83	4.67	4.83	4.67	4.67	4.83	5	4.67	4.5	1
"Compeau, P."	02-604	19	4.83	4.67	4.83	4.67	4.67	4.83	5	4.67	4.5	1
Carleton Kingsford	02-613	12.93	4.48	4.55	4.59	4.32	4.49	4.52	4.75	4.38	4.42	2
"Kingsford, C."	02-613	12.93	4.48	4.55	4.59	4.32	4.49	4.52	4.75	4.38	4.42	2
Jian Ma	02-613	10.82	3.67	3.95	4.05	3.38	3.8	3.52	4.38	3.46	3.5	1
Du (John) Vu	02-651	9.17	4.55	4.36	4.55	4.49	4.54	4.43	4.59	4.38	4.31	6
"Vu, D."	02-651	9.17	4.55	4.36	4.55	4.49	4.54	4.43	4.59	4.38	4.31	6
Eric Nyberg	02-651	13	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	1
"Nyberg, E."	02-651	13	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	3.67	1
Du (John) Vu	02-652	9.06	4.54	4.61	4.52	4.47	4.52	4.66	4.69	4.63	4.51	3
"Vu, D."	02-652	9.06	4.54	4.61	4.52	4.47	4.52	4.66	4.69	4.63	4.51	3
"Naik, A."	02-652	10.35	4.95	4.9	4.85	4.85	4.7	4.75	4.9	4.8	4.75	1
Armaghan Naik	02-652	10.35	4.95	4.9	4.85	4.85	4.7	4.75	4.9	4.8	4.75	1
Eric Nyberg	02-652	10.25	4.75	4.75	4.75	4.75	5	5	4.75	4.75	4.5	1
"Nyberg, E."	02-652	10.25	4.75	4.75	4.75	4.75	5	5	4.75	4.75	4.5	1
Karen Thickman	02-652	14.33	4.53	4.58	4.42	4.68	4.47	4.53	4.53	4.37	4.37	1
"Thickman, K."	02-652	14.33	4.53	4.58	4.42	4.68	4.47	4.53	4.53	4.37	4.37	1
Du (John) Vu	02-654	9.15	4.39	4.33	4.38	4.34	4.35	4.37	4.43	4.3	4.36	5
"Vu, D."	02-654	9.15	4.39	4.33	4.38	4.34	4.35	4.37	4.43	4.3	4.36	5
"Bar-Joseph, Z."	02-710	11.7	3.87	3.7	3.73	3.4	3.94	3.88	4.17	3.74	3.77	4
Ziv Bar-Joseph	02-710	11.7	3.87	3.7	3.73	3.4	3.94	3.88	4.17	3.74	3.77	4
Se Young Kim	02-710	9.18	4.02	3.67	3.5	3.22	3.67	3.7	4.54	3.63	3.41	2
"Murphy, R."	02-710	9.29	3.86	4.14	4.14	3.71	4	4.14	4.33	4	4	1
Robert Murphy	02-710	9.29	3.86	4.14	4.14	3.71	4	4.14	4.33	4	4	1
M Durand	02-711	10.18	4.83	4.89	4.89	4.89	4.83	4.91	4.91	4.87	4.67	6
Russell Schwartz	02-712	13.53	4.37	4.57	4.59	4.19	4.39	4.34	4.81	4.33	4.36	7
"Schwartz, R."	02-712	13.53	4.37	4.57	4.59	4.19	4.39	4.34	4.81	4.33	4.36	7
Carleton Kingsford	02-713	9.79	4.11	4.29	4.33	4	4.29	4.27	4.43	4.13	4.21	2
"Kingsford, C."	02-713	9.79	4.11	4.29	4.33	4	4.29	4.27	4.43	4.13	4.21	2
Se Young Kim	02-715	6	4.83	4.83	4.83	4.42	4.58	5	5	5	5	2
"Bar-Joseph, Z."	02-716	8	4.75	4.75	4.75	5	4.75	4.5	4.5	4.75	4.5	1
Ziv Bar-Joseph	02-716	8	4.75	4.75	4.75	5	4.75	4.5	4.5	4.75	4.5	1
"Bar-Joseph, Z."	02-717	6.75	4.42	4.33	4.5	3.92	4.17	4.08	4.25	4.08	4	2
Ziv Bar-Joseph	02-717	6.75	4.42	4.33	4.5	3.92	4.17	4.08	4.25	4.08	4	2
Wayne Wu	02-718	11.13	4.71	4.71	4.63	4.43	4.43	4.14	4.86	4.43	4.43	1
"Wu, W."	02-718	11.13	4.71	4.71	4.63	4.43	4.43	4.14	4.86	4.43	4.43	1
"Langmead, C."	02-718	11.13	4.38	4.88	5	4.13	4.38	4.13	4.5	4.5	4.38	1
Christopher Langmead	02-718	11.13	4.38	4.88	5	4.13	4.38	4.13	4.5	4.5	4.38	1
"Langmead, C."	02-721	7	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	1
Christopher Langmead	02-721	7	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	4.75	1
"Langmead, C."	02-722	5	4.5	4.5	4.5	4.5	5	4	5	4.5	4	1
Christopher Langmead	02-722	5	4.5	4.5	4.5	4.5	5	4	5	4.5	4	1
"Langmead, C."	02-730	11.92	4.43	4.19	4.4	3.99	4.18	4.36	4.76	4.21	3.85	8
Christopher Langmead	02-730	11.92	4.43	4.19	4.4	3.99	4.18	4.36	4.76	4.21	3.85	8
Andreas Pfenning	02-730	13.17	3.83	4.17	4.33	3.33	4.33	4.33	4.67	4	3.83	1
"Stiles, J."	02-730	8	4	2	2.5	2	2.5	4	5	3.5	2	1
Joel Stiles	02-730	8	4	2	2.5	2	2.5	4	5	3.5	2	1
Ge Yang	02-740	9.67	4.57	4.52	4.37	3.95	4.51	4.39	4.91	4.36	4.18	5
"Yang, G."	02-740	9.67	4.57	4.52	4.37	3.95	4.51	4.39	4.91	4.36	4.18	5
"Murphy, R."	02-750	9.53	4.41	3.91	4.08	4.04	4.55	4.47	4.61	4.24	4.39	4
Robert Murphy	02-750	9.53	4.41	3.91	4.08	4.04	4.55	4.47	4.61	4.24	4.39	4
James Schneider	02-750	9.67	4.67	4.22	4.33	4.67	4.78	4.78	4.89	4.78	4.67	3
"Schneider, J."	02-750	9.67	4.67	4.22	4.33	4.67	4.78	4.78	4.89	4.78	4.67	3
Jeffrey Schneider	02-750	9.67	4.67	4.22	4.33	4.67	4.78	4.78	4.89	4.78	4.67	3
"Carbonell, J."	02-750	9.33	4.44	3.89	4.11	4.11	4.56	4.45	4.89	4.33	4.56	3
Jaime Carbonell	02-750	9.33	4.44	3.89	4.11	4.11	4.56	4.45	4.89	4.33	4.56	3
"Langmead, C."	02-750	12.1	4.27	4.3	4.33	4.21	4.35	4.32	4.35	4.19	4.13	3
Christopher Langmead	02-750	12.1	4.27	4.3	4.33	4.21	4.35	4.32	4.35	4.19	4.13	3
"Naik, A."	02-750	10.96	4.24	3.92	3.89	3.92	4.2	3.96	4.1	4	4	2
Armaghan Naik	02-750	10.96	4.24	3.92	3.89	3.92	4.2	3.96	4.1	4	4	2
"Ayoob, J."	02-760	9.4	4.65	4.13	4.03	4.31	4.28	4.37	4.77	4.37	3.7	6
Karen Thickman	02-760	9.32	4.55	3.71	4.05	4.07	4.23	4.05	4.49	4.17	3.33	5
"Thickman, K."	02-760	9.32	4.55	3.71	4.05	4.07	4.23	4.05	4.49	4.17	3.33	5
"Naik, A."	02-760	9	4.33	3.5	4.17	4.17	4.33	4.33	4.33	4	3.5	1
Armaghan Naik	02-760	9	4.33	3.5	4.17	4.17	4.33	4.33	4.33	4	3.5	1
Chien Ho	03-101	3.74	4.6	4.21	4.55	3.79	4.72	4.52	4.8	4.32	4.46	7
"Hovis, K."	03-101	6.38	4.65	4.6	4.62	4.29	4.58	4.55	4.83	4.66	4.69	4
Ken Hovis	03-101	6.38	4.65	4.6	4.62	4.29	4.58	4.55	4.83	4.66	4.69	4
"Brasier, D."	03-101	6.44	4.86	4.67	4.51	4.55	4.47	4.43	4.96	4.71	4.49	3
Daniel Brasier	03-101	6.44	4.86	4.67	4.51	4.55	4.47	4.43	4.96	4.71	4.49	3
Derrick Gray	03-101	6.92	4.54	4.61	4.72	4.34	4.6	4.3	4.42	4.6	4.47	2
David Gray	03-101	6.92	4.54	4.61	4.72	4.34	4.6	4.3	4.42	4.6	4.47	2
"Gray, D."	03-101	6.92	4.54	4.61	4.72	4.34	4.6	4.3	4.42	4.6	4.47	2
Peter Berget	03-101	6.75	4.62	4.25	4.38	3.79	4.62	4.46	4.33	4.21	4.46	2
"Finkel, J."	03-101	3.5	5	4.5	5	5	4.5	4.5	5	5	5	1
Jonathan Finkel	03-101	3.5	5	4.5	5	5	4.5	4.5	5	5	5	1
"Jarvik, J."	03-115	5.22	4.85	4.57	4.46	4.64	4.78	4.52	4.87	4.51	4.81	6
Jonathan Jarvik	03-115	5.22	4.85	4.57	4.46	4.64	4.78	4.52	4.87	4.51	4.81	6
Mary Braun	03-115	5.46	4.87	4.93	4.83	4.83	4.81	4.92	4.91	4.83	4.9	4
"Braun, M."	03-115	5.46	4.87	4.93	4.83	4.83	4.81	4.92	4.91	4.83	4.9	4
"Vincent, A."	03-115	5.25	4.7	4.65	4.63	4.6	4.65	4.62	4.72	4.78	4.6	3
Annette Vincent	03-115	5.25	4.7	4.65	4.63	4.6	4.65	4.62	4.72	4.78	4.6	3
"Mohan, S."	03-115	5.08	4.9	4.78	4.78	4.85	4.81	4.84	4.9	4.88	4.88	2
Swarna Mohan	03-115	5.08	4.9	4.78	4.78	4.85	4.81	4.84	4.9	4.88	4.88	2
Natalie Mcguier	03-115	5	4.88	4.81	4.75	4.94	4.69	4.94	4.94	4.88	5	1
"Mcguier, N."	03-115	5	4.88	4.81	4.75	4.94	4.69	4.94	4.94	4.88	5	1
"Mcmanus, C."	03-115	5	5	4.78	4.78	4.78	4.89	4.7	4.9	4.6	5	1
Charles Mcmanus	03-115	5	5	4.78	4.78	4.78	4.89	4.7	4.9	4.6	5	1
"Lopez, A."	03-116	4.85	4.56	4.29	4.28	4.25	4.46	4.43	4.6	4.32	4.47	7
Antonio-Javier Lopez	03-116	4.85	4.56	4.29	4.28	4.25	4.46	4.43	4.6	4.32	4.47	7
Mary Braun	03-116	4.75	4.73	4.58	4.64	4.59	4.62	4.75	4.81	4.68	4.63	5
"Braun, M."	03-116	4.75	4.73	4.58	4.64	4.59	4.62	4.75	4.81	4.68	4.63	5
"Mohan, S."	03-116	4.89	4.62	4.55	4.42	4.49	4.42	4.52	4.65	4.51	4.45	2
Swarna Mohan	03-116	4.89	4.62	4.55	4.42	4.49	4.42	4.52	4.65	4.51	4.45	2
"Ilyin, V."	03-116	9	4.33	3.75	4.08	4	4.33	4.17	4.92	4	4.25	2
Valentin Ilyin	03-116	9	4.33	3.75	4.08	4	4.33	4.17	4.92	4	4.25	2
"Brasier, D."	03-121	10.47	4.53	4.41	4.41	4.17	4.32	4.4	4.64	4.35	4.14	11
Daniel Brasier	03-121	10.47	4.53	4.41	4.41	4.17	4.32	4.4	4.64	4.35	4.14	11
"Subramanian, S."	03-121	8.78	4.53	4.28	4.44	4.19	4.46	4.37	4.72	4.21	4.09	7
Shoba Subramanian	03-121	8.78	4.53	4.28	4.44	4.19	4.46	4.37	4.72	4.21	4.09	7
"Jarvik, J."	03-121	6.14	3.61	3.14	3.04	2.81	3.42	2.91	4.08	2.82	2.92	7
Jonathan Jarvik	03-121	6.14	3.61	3.14	3.04	2.81	3.42	2.91	4.08	2.82	2.92	7
"Hovis, K."	03-121	8.13	4.68	4.77	4.72	4.42	4.72	4.74	4.88	4.77	4.66	6
Ken Hovis	03-121	8.13	4.68	4.77	4.72	4.42	4.72	4.74	4.88	4.77	4.66	6
"Lanni, F."	03-121	7.2	4.05	3.54	3.46	3.2	3.85	3.3	4.38	3.3	3.29	6
Frederick Lanni	03-121	7.2	4.05	3.54	3.46	3.2	3.85	3.3	4.38	3.3	3.29	6
"Doonan, C."	03-121	9.62	4.62	4.23	4.23	3.81	4.39	4.4	4.64	4.42	4.23	4
Carrie Doonan	03-121	9.62	4.62	4.23	4.23	3.81	4.39	4.4	4.64	4.42	4.23	4
"Hackney, D."	03-121	8.05	3.83	3.48	3.62	3.08	3.91	3.68	4.59	3.5	3.4	4
David Hackney	03-121	8.05	3.83	3.48	3.62	3.08	3.91	3.68	4.59	3.5	3.4	4
Jonathan Minden	03-121	9	4.69	4.31	4.46	4.12	4.69	4.49	4.83	4.42	4.41	3
"Minden, J."	03-121	9	4.69	4.31	4.46	4.12	4.69	4.49	4.83	4.42	4.41	3
"Visomirski-Robic, L."	03-121	7.79	3.37	3.44	3.35	3.08	3.21	3	4.09	2.83	3.11	3
Linda Visomirski-Robic	03-121	7.79	3.37	3.44	3.35	3.08	3.21	3	4.09	2.83	3.11	3
Peter Berget	03-121	10.2	3.58	3.78	3.79	3.94	4.39	4.28	4.85	4.03	4.22	2
"Finkel, J."	03-121	7.32	4.38	4.14	4.14	3.89	4.02	3.95	4.54	4.03	4.11	2
Jonathan Finkel	03-121	7.32	4.38	4.14	4.14	3.89	4.02	3.95	4.54	4.03	4.11	2
"Ettensohn, C."	03-121	6.65	4.16	4.37	4.29	3.65	4.34	4.4	4.39	4.29	4	2
Charles Ettensohn	03-121	6.65	4.16	4.37	4.29	3.65	4.34	4.4	4.39	4.29	4	2
"Campanaro, B."	03-121	6.66	4.58	4.45	4.47	4.37	4.57	4.47	4.84	4.45	4.68	1
Becki Campanaro	03-121	6.66	4.58	4.45	4.47	4.37	4.57	4.47	4.84	4.45	4.68	1
"Dantonio, J."	03-121	6.66	4.92	4.63	4.61	4.47	4.76	4.82	4.92	4.89	4.66	1
Jason Dantonio	03-121	6.66	4.92	4.63	4.61	4.47	4.76	4.82	4.92	4.89	4.66	1
"Lopez, A."	03-121	8.38	3.99	3.89	3.9	3.52	4.04	3.99	4.36	3.83	3.42	1
Antonio-Javier Lopez	03-121	8.38	3.99	3.89	3.9	3.52	4.04	3.99	4.36	3.83	3.42	1
"Morton, C."	03-122	5	4.33	4.22	4.33	4	4.44	4.11	4.56	4.38	4.44	1
"Jacobsen, T."	03-122	4	4.11	3.78	4	3.78	4	4	4.22	4.22	4.11	1
"Utech, F."	03-122	3.67	3.56	3.33	3.56	3.33	3.78	3.67	3.88	3.78	3.67	1
"Kiger, R."	03-122	4.18	3.64	3.73	3.36	2.91	3.55	3.55	3.82	3.18	3.45	1
"Doonan, C."	03-124	10.32	4.92	4.56	4.48	4.58	4.81	4.88	4.71	4.69	4.67	12
Carrie Doonan	03-124	10.32	4.92	4.56	4.48	4.58	4.81	4.88	4.71	4.69	4.67	12
"Visomirski-Robic, L."	03-124	9.65	4.64	4.42	4.47	4.42	4.48	4.47	4.72	4.48	4.39	11
Linda Visomirski-Robic	03-124	9.65	4.64	4.42	4.47	4.42	4.48	4.47	4.72	4.48	4.39	11
"Mohan, S."	03-124	7.2	4.38	4.48	4.59	4.49	4.52	4.58	4.33	4.44	4.32	4
Swarna Mohan	03-124	7.2	4.38	4.48	4.59	4.49	4.52	4.58	4.33	4.44	4.32	4
Natalie Mcguier	03-124	8.19	4.81	4.75	4.81	4.75	4.81	5	4.81	4.88	4.81	1
"Mcguier, N."	03-124	8.19	4.81	4.75	4.81	4.75	4.81	5	4.81	4.88	4.81	1
Veronica Hinman	03-125	5.44	4.53	4.29	4.36	4.17	4.42	4.4	4.7	4.27	4.13	4
Karen Thickman	03-126	5.87	4.75	4.56	4.55	4.52	4.48	4.46	4.7	4.62	4.5	6
"Thickman, K."	03-126	5.87	4.75	4.56	4.55	4.52	4.48	4.46	4.7	4.62	4.5	6
Jonathan Minden	03-127	5.77	4.96	4.62	4.67	4.84	4.83	4.75	5	4.88	4.61	5
"Minden, J."	03-127	5.77	4.96	4.62	4.67	4.84	4.83	4.75	5	4.88	4.61	5
Gordon Rule	03-131	8.5	4.94	4.87	4.8	4.63	4.69	4.8	4.94	4.91	4.69	2
"Rule, G."	03-131	8.5	4.94	4.87	4.8	4.63	4.69	4.8	4.94	4.91	4.69	2
Brooke Mccartney	03-132	8.93	4.64	4.09	4.25	4.02	4.64	4.39	4.66	4.31	4.16	7
"Mccartney, B."	03-132	8.93	4.64	4.09	4.25	4.02	4.64	4.39	4.66	4.31	4.16	7
Mohamed Bouaouina	03-132	7.42	4.26	4.04	4.04	3.25	3.93	4.06	4.31	3.94	3.72	4
Jonathan Minden	03-151	9.08	4.85	4.57	4.56	4.45	4.77	4.66	4.88	4.66	4.63	3
"Minden, J."	03-151	9.08	4.85	4.57	4.56	4.45	4.77	4.66	4.88	4.66	4.63	3
"Hovis, K."	03-151	10.01	4.57	4.74	4.69	4.22	4.7	4.57	4.88	4.62	4.39	3
Ken Hovis	03-151	10.01	4.57	4.74	4.69	4.22	4.7	4.57	4.88	4.62	4.39	3
Gordon Rule	03-151	8.8	4.87	4.33	4.33	4.27	4.33	4.6	4.93	4.4	4.47	1
"Rule, G."	03-151	8.8	4.87	4.33	4.33	4.27	4.33	4.6	4.93	4.4	4.47	1
"Brasier, D."	03-161	8.7	4.82	4.6	4.52	4.55	4.46	4.63	4.87	4.55	4.4	5
Daniel Brasier	03-161	8.7	4.82	4.6	4.52	4.55	4.46	4.63	4.87	4.55	4.4	5
Alison Barth	03-161	7.07	4.28	4	3.93	3.72	4	4.07	4.17	3.93	3.93	1
"Barth, A."	03-161	7.07	4.28	4	3.93	3.72	4	4.07	4.17	3.93	3.93	1
Mary Braun	03-201	2.08	4.58	4.57	4.55	4.35	4.49	4.47	4.72	4.53	4.37	5
"Braun, M."	03-201	2.08	4.58	4.57	4.55	4.35	4.49	4.47	4.72	4.53	4.37	5
"Hovis, K."	03-201	2.33	4.83	4.93	4.86	4.77	4.77	4.75	4.95	4.89	4.64	4
Ken Hovis	03-201	2.33	4.83	4.93	4.86	4.77	4.77	4.75	4.95	4.89	4.64	4
"Campanaro, B."	03-201	2.1	4.44	4.49	4.42	4.28	4.38	4.45	4.59	4.38	4.08	2
Becki Campanaro	03-201	2.1	4.44	4.49	4.42	4.28	4.38	4.45	4.59	4.38	4.08	2
"Subramanian, S."	03-201	2.2	4.57	4.47	4.53	4.4	4.6	4.53	4.5	4.5	4.53	1
Shoba Subramanian	03-201	2.2	4.57	4.47	4.53	4.4	4.6	4.53	4.5	4.5	4.53	1
"Vincent, A."	03-201	2.23	4.77	4.69	4.54	4.23	4.54	4.54	4.77	4.69	4.46	1
Annette Vincent	03-201	2.23	4.77	4.69	4.54	4.23	4.54	4.54	4.77	4.69	4.46	1
"Hovis, K."	03-202	2.1	4.81	4.84	4.84	4.64	4.72	4.78	4.88	4.81	4.61	3
Ken Hovis	03-202	2.1	4.81	4.84	4.84	4.64	4.72	4.78	4.88	4.81	4.61	3
Mary Braun	03-202	2	4.38	4.5	4.38	4.25	4.57	4.57	4.86	4.71	4.71	1
"Braun, M."	03-202	2	4.38	4.5	4.38	4.25	4.57	4.57	4.86	4.71	4.71	1
Jeffrey Hollinger	03-203	3.56	4.18	3.59	3.81	3.81	4.3	3.79	3.89	3.86	3.56	3
"Hollinger, J."	03-203	3.56	4.18	3.59	3.81	3.81	4.3	3.79	3.89	3.86	3.56	3
Conrad Zapanta	03-206	9.14	4.85	4.74	4.8	4.61	4.78	4.71	4.9	4.79	4.68	27
"Zapanta, C."	03-206	9.14	4.85	4.74	4.8	4.61	4.78	4.71	4.9	4.79	4.68	27
Mary Braun	03-210	15.57	4.7	4.8	4.8	4.7	4.88	4.88	4.88	4.88	4.88	2
"Braun, M."	03-210	15.57	4.7	4.8	4.8	4.7	4.88	4.88	4.88	4.88	4.88	2
"Mcmanus, C."	03-220	9.17	4.48	4.17	4.12	4	4.23	3.98	4.58	3.94	3.73	1
Charles Mcmanus	03-220	9.17	4.48	4.17	4.12	4	4.23	3.98	4.58	3.94	3.73	1
"Lopez, A."	03-220	9.25	3.98	3.89	3.83	3.66	3.94	3.54	4.22	3.57	3.56	1
Antonio-Javier Lopez	03-220	9.25	3.98	3.89	3.83	3.66	3.94	3.54	4.22	3.57	3.56	1
"Hovis, K."	03-230	8.31	4.75	4.75	4.83	4.28	4.75	4.72	4.93	4.79	4.71	4
Ken Hovis	03-230	8.31	4.75	4.75	4.83	4.28	4.75	4.72	4.93	4.79	4.71	4
"Brasier, D."	03-230	7.32	4.82	4.82	4.73	4.32	4.59	4.73	4.91	4.73	4.59	1
Daniel Brasier	03-230	7.32	4.82	4.82	4.73	4.32	4.59	4.73	4.91	4.73	4.59	1
"Lee, C."	03-231	8.4	4.29	4.22	4.24	3.82	4.31	4.23	4.54	4.12	3.92	6
"Macbeth, M."	03-231	8.02	4.53	4.43	4.41	4.09	4.55	4.51	4.57	4.44	4.27	3
"Hackney, D."	03-231	8.98	3.45	3.34	3.26	3.12	3.36	2.95	3.93	2.72	2.86	3
David Hackney	03-231	8.98	3.45	3.34	3.26	3.12	3.36	2.95	3.93	2.72	2.86	3
Gordon Rule	03-232	8.95	4.84	4.81	4.8	4.63	4.76	4.8	4.9	4.8	4.67	11
"Rule, G."	03-232	8.95	4.84	4.81	4.8	4.63	4.76	4.8	4.9	4.8	4.67	11
"Visomirski-Robic, L."	03-232	8.46	3.56	3.34	3.19	3	3.09	2.54	4.09	2.63	3.25	1
Linda Visomirski-Robic	03-232	8.46	3.56	3.34	3.19	3	3.09	2.54	4.09	2.63	3.25	1
"Linstedt, A."	03-240	8.77	4.15	4.13	4.15	3.81	4.29	4.18	4.35	3.99	3.97	5
Adam Linstedt	03-240	8.77	4.15	4.13	4.15	3.81	4.29	4.18	4.35	3.99	3.97	5
Manojkumar Puthenveedu	03-240	8.8	4.36	4.06	4.08	3.83	4.15	3.89	4.62	3.84	3.87	3
"Puthenveedu, M."	03-240	8.8	4.36	4.06	4.08	3.83	4.15	3.89	4.62	3.84	3.87	3
Mohamed Bouaouina	03-240	11.39	4.2	3.96	3.92	3.73	3.95	4.21	4.47	3.98	3.86	3
"Hovis, K."	03-240	10.12	4.33	4.58	4.33	4	4.33	4.5	4.67	4.33	4.5	2
Ken Hovis	03-240	10.12	4.33	4.58	4.33	4	4.33	4.5	4.67	4.33	4.5	2
Jonathan Minden	03-240	8.21	4.21	3.7	3.81	3.7	4.02	3.51	4.23	3.53	3.58	1
"Minden, J."	03-240	8.21	4.21	3.7	3.81	3.7	4.02	3.51	4.23	3.53	3.58	1
Russell Schwartz	03-250	7.8	3.88	4.11	3.92	3.48	3.78	3.79	4.45	3.72	3.53	5
"Schwartz, R."	03-250	7.8	3.88	4.11	3.92	3.48	3.78	3.79	4.45	3.72	3.53	5
"Murphy, R."	03-250	7.94	3.99	3.9	3.77	3.5	3.83	3.71	4.27	3.72	3.37	5
Robert Murphy	03-250	7.94	3.99	3.9	3.77	3.5	3.83	3.71	4.27	3.72	3.37	5
"Ilyin, V."	03-250	12.27	3.5	3.15	3.04	3.08	3.5	2.92	3.96	3.1	3.21	2
Valentin Ilyin	03-250	12.27	3.5	3.15	3.04	3.08	3.5	2.92	3.96	3.1	3.21	2
